Codigo,Municipio,Urbana,Rural,Total
1507961,Terra Alta (PA),5908,4492,10400
1507979,Terra Santa (PA),16259,2523,18782
1508001,Tomé-Açu (PA),42807,24778,67585
1508035,Tracuateua (PA),10173,18422,28595
1508050,Trairão (PA),9399,5843,15242
1508084,Tucumã (PA),34117,5433,39550
1508100,Tucuruí (PA),85560,5746,91306
1508126,Ulianópolis (PA),26486,11486,37972
1508159,Uruará (PA),25678,17880,43558
1508209,Vigia (PA),39596,11236,50832
1508308,Viseu (PA),29936,28756,58692
1508357,Vitória do Xingu (PA),8700,6907,15607
1508407,Xinguara (PA),46390,6503,52893
