Codigo,Municipio,Homens,Mulheres,Total
1507961,Terra Alta (PA),5297,5103,10400
1507979,Terra Santa (PA),9519,9263,18782
1508001,Tomé-Açu (PA),34412,33173,67585
1508035,Tracuateua (PA),14704,13891,28595
1508050,Trairão (PA),8020,7222,15242
1508084,Tucumã (PA),19757,19793,39550
1508100,Tucuruí (PA),45171,46135,91306
1508126,Ulianópolis (PA),19000,18972,37972
1508159,Uruará (PA),22812,20746,43558
1508209,Vigia (PA),25695,25137,50832
1508308,Viseu (PA),30472,28220,58692
1508357,Vitória do Xingu (PA),8031,7576,15607
1508407,Xinguara (PA),26590,26303,52893
