Cód.,Unidade da Federação e Município,Forma de declaração da idade,Menos de 1 ano,3 anos,4 anos,6 anos,7 anos,15 anos,16 anos,17 anos,18 anos,24 anos,25 anos,34 anos,40 anos,44 anos,45 anos,49 anos,50 anos,54 anos,55 anos,59 anos,60 anos,64 anos,70 anos,71 anos,72 anos,73 anos,74 anos,75 anos,76 anos,77 anos,78 anos,79 anos,80 anos,81 anos,82 anos,83 anos,84 anos,85 anos,86 anos,87 anos,88 anos,89 anos,90 anos,91 anos,92 anos,93 anos,94 anos,95 anos,96 anos,97 anos,98 anos,99 anos,100 anos ou mais
1507474,São João de Pirabas (PA),Total,286,341,322,331,348,371,393,376,370,282,303,315,331,296,270,264,234,204,169,191,205,142,109,98,106,90,96,88,91,85,79,65,55,51,62,32,26,29,22,28,11,14,16,21,10,9,5,4,-,3,2,4,13
1507508,São João do Araguaia (PA),Total,225,249,223,270,265,299,293,228,247,199,233,180,215,175,167,185,122,136,140,136,130,117,80,53,60,46,48,45,34,52,37,30,28,18,33,25,19,17,6,13,6,10,7,4,2,1,2,1,-,1,-,1,4
1507607,São Miguel do Guamá (PA),Total,835,899,877,895,897,1037,1065,1060,1011,898,873,849,860,659,660,589,551,484,481,373,326,313,251,200,226,207,178,160,150,159,154,123,128,71,93,92,68,48,40,38,35,37,17,23,16,9,7,11,10,10,5,8,11
1507706,São Sebastião da Boa Vista (PA),Total,479,477,476,496,503,511,512,520,547,496,480,379,399,258,256,238,244,177,143,162,148,137,102,57,72,64,48,59,51,65,45,47,45,37,42,30,29,17,19,21,17,7,4,8,8,3,2,1,4,2,3,1,12
1507755,Sapucaia (PA),Total,70,98,118,123,110,143,88,91,99,114,116,96,123,62,70,60,84,46,48,43,63,34,28,20,19,6,22,12,9,9,14,7,11,3,9,3,6,5,4,3,3,4,2,1,1,1,-,1,1,-,-,-,-
1507805,Senador José Porfírio (PA),Total,421,440,463,430,424,496,483,405,434,356,367,342,371,290,329,244,249,195,206,168,152,127,71,54,73,49,42,35,33,20,25,15,23,11,24,6,8,9,7,2,4,6,4,4,4,1,-,1,-,-,-,-,6
1507904,Soure (PA),Total,312,341,364,378,420,449,432,417,425,386,415,336,399,291,295,268,304,263,235,223,196,181,115,91,98,83,80,86,81,69,69,58,48,48,48,43,31,43,29,21,25,17,17,14,12,9,5,5,1,3,2,1,10
1507953,Tailândia (PA),Total,1285,1351,1268,1392,1473,1644,1515,1474,1488,1287,1437,1210,1254,844,954,689,688,503,529,381,394,314,196,151,168,146,120,117,111,110,104,88,75,63,72,42,41,39,33,27,25,16,25,10,13,8,9,3,4,1,4,1,10
1507961,Terra Alta (PA),Total,156,159,148,169,175,183,186,178,176,161,162,152,170,142,146,116,120,107,98,96,95,70,64,59,51,46,42,34,44,28,41,29,36,27,27,18,18,12,17,13,10,6,8,9,3,3,2,6,1,-,2,-,2
1507979,Terra Santa (PA),Total,306,357,322,347,361,350,314,360,323,311,336,300,301,223,229,183,187,139,139,102,125,101,79,64,65,69,45,49,53,41,52,56,40,32,27,16,19,17,16,13,12,10,14,8,2,4,5,1,2,-,1,3,5
