Cód.,Unidade da Federação e Município,Forma de declaração da idade,Menos de 1 ano,3 anos,4 anos,6 anos,7 anos,15 anos,16 anos,17 anos,18 anos,24 anos,25 anos,34 anos,40 anos,44 anos,45 anos,49 anos,50 anos,54 anos,55 anos,59 anos,60 anos,64 anos,70 anos,71 anos,72 anos,73 anos,74 anos,75 anos,76 anos,77 anos,78 anos,79 anos,80 anos,81 anos,82 anos,83 anos,84 anos,85 anos,86 anos,87 anos,88 anos,89 anos,90 anos,91 anos,92 anos,93 anos,94 anos,95 anos,96 anos,97 anos,98 anos,99 anos,100 anos ou mais
1502400,Castanhal (PA),Total,2573,2826,2775,2788,2891,3234,3111,3191,3276,3226,3278,3126,3650,2601,2738,2263,2413,1945,1994,1607,1518,1264,918,738,786,676,562,533,545,456,490,339,363,286,335,271,228,189,190,153,105,86,80,86,64,40,35,29,38,17,9,6,29
1502509,Chaves (PA),Total,450,447,489,459,478,471,486,452,430,346,330,285,277,214,236,183,187,147,140,102,115,77,78,57,55,55,53,42,42,38,31,28,33,18,27,15,21,12,6,16,9,3,17,2,5,2,2,-,-,3,2,2,5
1502608,Colares (PA),Total,174,196,236,240,196,272,253,222,207,179,182,197,194,169,154,141,166,153,104,124,102,100,69,66,78,71,61,60,56,36,35,41,38,22,33,27,13,18,24,13,16,8,8,7,7,4,3,4,2,1,3,2,3
1502707,Conceição do Araguaia (PA),Total,645,640,680,661,684,764,737,789,729,718,704,569,736,596,666,571,531,469,498,467,456,373,296,233,267,185,224,177,178,194,163,116,113,97,119,89,81,64,56,34,53,36,42,15,17,17,15,6,6,6,3,2,11
1502756,Concórdia do Pará (PA),Total,491,468,484,522,476,556,589,556,562,434,468,401,405,331,296,285,294,195,241,188,161,142,114,80,110,93,81,79,66,66,63,56,58,35,47,34,34,26,27,25,14,14,12,8,12,12,4,5,6,4,-,2,10
1502764,Cumaru do Norte (PA),Total,255,309,289,263,251,266,216,238,248,245,301,197,240,153,177,138,159,118,123,101,103,70,47,31,36,23,15,17,20,18,7,10,9,7,16,6,4,9,6,8,3,3,2,2,-,-,3,1,-,-,-,-,-
1502772,Curionópolis (PA),Total,366,345,343,337,398,388,356,370,372,325,355,324,313,231,232,205,187,162,152,167,182,160,91,94,91,67,78,66,52,51,45,56,39,31,52,27,25,27,17,15,9,11,9,5,4,3,2,4,2,2,-,-,4
1502806,Curralinho (PA),Total,629,748,775,726,741,833,796,757,809,671,609,499,463,323,339,287,299,206,184,155,153,131,96,80,92,62,71,77,60,65,55,58,45,22,39,27,33,19,32,19,15,8,10,6,7,3,4,2,8,5,3,5,33
1502855,Curuá (PA),Total,238,271,263,295,268,339,330,318,269,225,218,206,226,160,168,114,124,95,123,115,94,75,57,34,32,43,43,33,33,35,33,28,28,19,23,17,17,9,9,7,11,7,4,4,3,2,1,2,2,-,-,3,2
1502905,Curuçá (PA),Total,479,626,563,576,600,915,732,726,919,568,766,611,726,508,622,493,571,425,413,315,346,317,229,159,206,168,165,171,154,133,141,128,174,77,109,77,63,104,44,50,35,27,31,33,19,6,11,10,9,6,7,5,7
1502939,Dom Eliseu (PA),Total,890,951,1040,1024,1192,1109,1241,1102,1194,838,933,847,1301,694,769,513,677,405,423,371,424,281,278,173,195,147,123,110,103,121,87,73,89,45,63,35,39,35,28,30,19,21,22,10,13,6,4,8,4,1,1,1,2
1502954,Eldorado do Carajás (PA),Total,515,510,488,496,536,614,553,613,541,433,459,384,418,344,326,255,301,277,268,240,249,193,134,95,126,100,110,95,66,59,63,64,52,39,47,27,31,23,20,18,22,15,3,9,8,8,1,-,5,2,-,-,6
1503002,Faro (PA),Total,170,172,171,140,159,196,208,206,211,142,142,109,125,103,98,85,99,56,69,61,60,45,39,26,30,21,25,23,18,18,12,20,17,13,19,15,9,7,9,9,7,4,6,4,4,3,1,3,2,1,1,-,2
1503044,Floresta do Araguaia (PA),Total,264,305,333,300,315,312,337,325,327,272,309,271,290,253,223,197,209,183,178,146,130,121,90,81,74,60,64,50,43,37,31,33,47,23,28,23,19,13,14,14,11,5,14,4,4,3,2,3,2,1,1,-,-
1503077,Garrafão do Norte (PA),Total,381,408,371,403,425,502,530,547,537,402,421,403,435,287,305,269,258,217,250,157,174,131,110,73,95,78,85,58,69,62,57,53,52,52,44,35,20,24,19,29,19,17,11,11,6,4,6,-,2,1,1,1,4
1503093,Goianésia do Pará (PA),Total,414,458,468,450,456,537,527,499,471,411,361,401,476,361,377,319,327,263,273,200,187,165,115,88,93,74,87,61,54,69,63,47,40,25,42,33,20,22,26,20,10,7,5,9,10,3,5,4,-,-,1,-,4
1503101,Gurupá (PA),Total,623,734,678,669,659,804,710,719,749,641,605,444,414,296,332,290,273,208,188,161,185,126,86,73,94,69,65,72,78,54,62,57,58,45,40,31,31,21,36,24,14,16,6,12,7,10,3,2,1,6,2,1,6
1503200,Igarapé-Açu (PA),Total,489,512,535,545,549,647,592,577,638,581,643,551,640,430,465,443,440,345,357,294,337,291,201,172,170,169,151,136,115,118,105,83,103,83,77,77,53,40,47,30,23,32,22,17,19,13,7,11,3,3,3,-,16
1503309,Igarapé-Miri (PA),Total,947,1066,1095,1153,1201,1348,1324,1297,1270,1033,1135,945,1092,820,833,588,715,535,539,367,434,375,300,195,235,202,213,166,122,161,153,132,106,72,113,73,80,71,55,58,33,26,28,28,27,16,13,13,9,6,10,4,34
1503408,Inhangapi (PA),Total,159,179,180,175,168,201,159,188,191,173,167,171,160,123,144,103,113,96,102,80,85,69,50,36,40,38,34,41,36,29,34,23,23,21,14,16,12,10,14,8,11,4,9,10,5,1,1,7,2,3,-,-,3
1503457,Ipixuna do Pará (PA),Total,560,642,619,580,642,654,620,670,626,478,474,454,499,307,324,297,309,238,264,207,191,181,128,87,103,92,77,77,72,58,71,45,41,35,38,24,26,20,23,19,10,16,6,11,13,9,4,1,-,3,-,-,1
1503507,Irituia (PA),Total,456,503,464,439,485,630,615,594,518,457,496,464,529,415,413,384,330,288,342,242,226,217,181,135,146,136,146,125,116,113,131,87,80,60,69,66,45,30,34,34,29,22,27,18,13,10,14,9,6,4,1,2,9
1503606,Itaituba (PA),Total,2203,2213,2223,2168,2242,2158,2109,2194,2210,2434,2534,1909,2065,1352,1538,1220,1299,1055,1060,968,982,768,519,393,396,340,311,284,291,215,234,157,162,125,155,112,98,114,86,44,44,43,44,27,20,14,13,10,4,5,8,1,11
1503705,Itupiranga (PA),Total,824,846,845,873,925,1024,1011,999,972,805,848,764,804,592,692,526,561,428,396,365,360,283,239,196,190,142,186,140,144,115,111,75,82,51,79,55,53,36,42,22,30,25,23,18,9,9,9,8,6,3,4,-,3
1503754,Jacareacanga (PA),Total,663,608,711,648,650,579,517,553,508,420,417,263,296,205,225,188,209,144,162,135,131,92,52,44,58,39,39,35,27,21,27,22,24,14,15,10,2,13,10,6,5,5,5,1,6,-,3,1,-,1,2,-,2
1503804,Jacundá (PA),Total,555,614,610,662,639,698,752,762,667,546,528,534,699,506,533,413,430,350,340,294,300,285,181,162,166,146,122,114,115,108,109,106,83,66,72,70,55,39,48,29,38,17,20,15,14,12,11,9,8,2,3,1,7
1503903,Juruti (PA),Total,1005,1094,1030,1093,1102,1140,1091,1176,1087,879,860,731,750,545,567,429,437,328,336,275,289,254,175,149,161,124,120,109,103,112,112,98,63,56,64,50,30,33,57,32,29,26,26,18,17,10,11,1,4,6,2,7,6
1504000,Limoeiro do Ajuru (PA),Total,523,614,544,570,559,616,624,621,613,594,541,452,454,326,322,251,299,184,195,192,162,117,80,61,80,72,64,48,55,59,50,36,55,24,42,25,31,22,25,17,11,10,9,5,11,3,10,5,4,3,3,2,11
1504059,Mãe do Rio (PA),Total,396,616,592,566,615,653,636,706,614,522,609,510,543,420,441,361,392,304,312,202,224,200,172,133,141,117,112,103,117,96,77,85,69,51,75,46,31,34,25,29,23,18,16,14,15,11,16,9,3,2,2,1,3
1504109,Magalhães Barata (PA),Total,120,112,101,125,138,136,148,145,147,103,104,125,145,118,101,114,91,85,72,85,71,70,51,47,48,50,36,36,32,23,32,27,24,16,30,27,8,9,16,6,10,11,3,6,3,1,1,-,-,1,2,1,4
1504208,Marabá (PA),Total,4084,4575,4458,4543,4693,4916,4907,4924,4943,4625,4728,4413,4862,3344,3642,2811,2905,2171,2222,1983,2061,1554,1004,844,857,671,642,593,543,467,452,396,409,288,384,230,244,173,200,142,112,108,105,76,68,51,26,23,21,18,13,11,29
1504307,Maracanã (PA),Total,355,359,364,362,406,527,500,514,452,376,385,385,409,333,325,291,314,246,280,237,213,223,171,127,146,125,129,114,91,96,113,92,71,69,86,56,37,44,38,36,26,25,22,13,13,10,8,5,10,5,8,3,19
1504406,Marapanim (PA),Total,317,392,377,441,428,427,435,422,388,373,410,397,497,368,375,337,343,275,302,233,302,196,192,143,142,122,123,130,105,108,115,103,81,66,86,58,48,41,41,34,29,17,16,9,9,7,4,5,4,2,4,2,18
1504422,Marituba (PA),Total,1511,1727,1521,1707,1792,1943,1870,1892,1922,1881,1948,1857,2140,1540,1669,1379,1447,1150,1116,907,841,715,458,350,404,284,303,253,232,206,162,157,165,128,147,117,109,67,77,76,40,36,41,32,28,19,18,13,5,9,8,3,19
1504455,Medicilândia (PA),Total,500,484,450,472,448,515,521,498,504,409,398,412,482,382,359,287,311,261,259,247,228,176,126,97,95,81,74,65,78,58,59,57,38,30,45,34,23,23,16,21,9,11,9,9,8,5,5,1,2,1,2,1,1
1504505,Melgaço (PA),Total,627,829,764,684,769,718,717,722,743,496,500,327,353,214,247,200,165,127,137,91,118,67,80,45,59,50,37,44,42,28,29,19,24,16,19,12,14,13,10,10,12,7,9,4,7,5,1,3,2,1,4,5,18
1504604,Mocajuba (PA),Total,456,425,413,447,465,584,604,571,624,478,569,409,413,304,315,249,269,237,238,156,165,142,107,91,104,92,96,69,74,81,77,50,61,52,52,47,48,42,29,36,19,15,23,14,9,5,10,7,6,8,2,3,7
1504703,Moju (PA),Total,1412,1591,1569,1590,1603,1766,1708,1660,1698,1456,1616,1260,1416,972,1109,836,845,648,690,574,553,408,303,213,248,209,204,184,184,177,169,116,130,75,111,84,80,64,58,34,37,35,30,15,25,16,7,10,6,6,8,3,13
1504752,Mojuí dos Campos (PA),Total,393,408,377,393,399,440,459,425,430,380,365,334,383,284,311,277,262,239,268,214,205,156,115,86,118,107,90,74,65,69,57,55,61,41,46,44,31,26,24,19,15,15,9,10,11,5,2,4,6,1,1,3,2
1504802,Monte Alegre (PA),Total,985,993,947,1039,1063,1219,1216,1166,1029,893,947,794,901,777,839,667,681,547,545,496,478,444,338,253,279,239,219,176,170,148,181,151,150,126,141,104,92,63,73,45,49,36,41,37,27,17,12,12,8,6,3,3,7
1504901,Muaná (PA),Total,731,836,823,955,889,880,940,930,922,803,761,636,733,495,501,483,475,305,273,263,291,200,152,175,138,123,103,81,97,99,64,73,73,57,55,47,40,43,52,34,22,20,17,16,12,14,3,7,10,3,2,3,14
1504950,Nova Esperança do Piriá (PA),Total,422,406,400,372,395,465,445,438,414,318,357,337,331,228,226,188,207,183,153,117,112,107,73,55,60,55,51,47,45,31,33,29,20,27,29,13,18,7,8,6,5,4,6,3,2,4,3,-,-,1,-,-,1
1504976,Nova Ipixuna (PA),Total,223,243,229,246,237,283,269,258,235,205,211,205,229,182,222,164,176,132,131,132,121,110,79,71,72,52,62,51,46,55,46,35,25,16,32,15,12,17,9,12,12,8,5,5,4,4,1,2,3,-,2,2,5
1505007,Nova Timboteua (PA),Total,155,141,150,199,172,187,195,239,204,169,180,197,208,203,196,178,165,144,143,135,136,123,107,66,81,68,58,68,58,61,52,38,45,38,43,23,24,31,17,18,14,13,8,8,3,6,4,4,3,4,2,2,2
1505031,Novo Progresso (PA),Total,588,545,648,593,627,527,585,592,637,602,604,589,625,375,444,332,387,325,294,259,274,194,122,74,82,74,73,58,55,44,40,33,33,21,33,12,13,14,13,7,3,5,9,3,2,4,3,3,1,-,-,-,2
1505064,Novo Repartimento (PA),Total,1156,1144,1067,1101,1154,1289,1210,1241,1210,1004,1014,889,1001,765,783,593,613,490,591,452,453,344,271,186,224,172,190,160,143,142,116,105,109,72,83,47,60,44,49,28,22,24,26,20,19,3,9,4,4,7,2,1,4
1505106,Óbidos (PA),Total,936,989,903,909,976,1099,1076,1077,1070,803,752,720,803,681,637,563,557,487,444,397,370,273,228,227,195,172,190,159,159,159,182,153,135,118,117,86,71,74,60,50,36,30,27,9,18,12,7,4,5,2,5,3,8
1505205,Oeiras do Pará (PA),Total,677,714,651,700,699,765,763,734,725,621,573,451,462,360,348,300,292,251,225,165,169,129,97,81,96,81,80,91,61,79,65,45,56,37,57,30,31,21,13,19,17,10,7,9,10,6,1,6,7,4,4,3,34
1505304,Oriximiná (PA),Total,1345,1390,1350,1278,1353,1469,1489,1505,1394,1078,1077,940,1056,838,840,665,646,514,492,452,433,356,253,228,251,212,189,175,180,193,173,147,118,106,137,84,73,62,61,46,30,36,34,37,17,20,16,10,7,3,5,3,7
1505403,Ourém (PA),Total,240,285,268,284,285,344,299,354,336,275,310,267,331,243,212,205,192,210,191,141,148,130,71,71,80,68,79,73,45,46,63,49,51,40,47,33,28,24,29,15,13,13,7,11,5,5,4,2,4,1,1,1,4
1505437,Ourilândia do Norte (PA),Total,546,629,609,613,610,629,618,584,563,504,535,535,530,357,423,312,373,273,292,248,248,183,119,101,106,99,77,60,54,55,54,42,41,34,57,38,40,16,18,14,15,10,9,9,4,2,4,2,1,1,-,1,2
1505486,Pacajá (PA),Total,792,826,806,765,797,809,823,782,733,732,699,632,652,497,512,392,405,354,351,273,263,240,159,155,135,87,119,92,106,88,65,54,70,46,60,35,59,36,25,19,27,15,17,11,7,7,7,3,3,2,1,2,6
1505494,Palestina do Pará (PA),Total,113,115,118,115,137,124,147,144,118,115,95,104,101,84,93,71,76,72,68,60,50,41,45,33,41,34,31,33,23,14,21,21,11,15,21,9,8,11,10,8,5,8,5,3,1,2,2,1,1,1,1,2,3
1505502,Paragominas (PA),Total,1676,1857,1747,1740,1786,1993,2064,2030,2039,1863,1935,1777,2041,1343,1463,1167,1154,859,938,657,714,550,382,287,321,237,207,246,194,166,169,122,159,102,133,74,68,72,71,45,38,37,22,31,20,9,6,14,4,4,3,3,15
1505536,Parauapebas (PA),Total,4714,4925,4787,4707,5064,4718,4772,4799,4662,4775,4954,5408,5608,3584,3555,2496,2517,1923,1885,1433,1407,999,596,515,490,366,388,326,282,270,258,206,217,150,199,156,133,115,101,83,69,72,51,32,22,26,14,10,13,7,5,4,15
1505551,Pau D'Arco (PA),Total,122,127,118,110,136,127,95,130,102,114,114,97,79,100,107,77,81,68,78,58,68,61,38,41,39,24,33,25,23,22,27,13,13,11,16,8,12,5,8,5,5,5,5,2,3,1,2,-,-,1,-,-,-
1505601,Peixe-Boi (PA),Total,83,98,117,100,119,142,140,146,145,106,120,130,153,125,122,111,96,89,111,85,97,74,51,37,41,40,50,39,28,25,26,28,18,22,24,20,19,19,12,12,17,9,4,7,5,2,-,4,2,1,2,-,1
1505635,Piçarra (PA),Total,231,246,231,203,225,242,251,223,224,218,212,175,216,173,185,132,176,131,90,97,107,69,77,57,53,40,42,40,33,22,25,32,24,21,18,17,14,5,5,8,6,11,3,3,6,3,2,2,2,2,1,1,1
1505650,Placas (PA),Total,332,330,324,325,346,387,380,363,377,275,305,281,301,264,245,190,189,157,169,185,161,104,82,63,73,54,58,48,57,35,35,36,20,23,23,25,18,14,16,14,11,8,9,1,2,2,2,-,-,2,2,1,2
1505700,Ponta de Pedras (PA),Total,381,442,425,402,434,489,524,516,495,383,421,374,428,310,316,271,315,206,202,181,183,169,122,73,90,64,69,61,49,55,56,52,32,30,37,32,30,25,28,34,11,8,27,12,9,8,12,4,6,2,2,4,7
1505809,Portel (PA),Total,1416,1474,1460,1336,1425,1471,1478,1473,1617,1216,1142,766,855,535,665,534,484,330,316,305,312,195,196,115,161,132,108,123,128,97,90,70,73,64,69,49,37,32,43,28,23,18,17,14,19,6,7,7,9,6,11,3,29
1505908,Porto de Moz (PA),Total,722,877,891,897,937,903,995,844,898,700,759,639,631,423,432,336,351,259,245,167,197,153,89,73,80,69,76,67,62,43,70,50,68,37,44,33,28,21,31,13,18,8,14,9,7,7,4,3,3,2,2,1,11
1506005,Prainha (PA),Total,707,680,734,710,711,744,759,729,746,627,616,498,506,369,388,357,328,245,288,254,223,164,127,111,86,91,63,71,69,70,73,46,67,44,49,40,25,18,33,26,17,13,13,8,9,5,1,3,2,1,2,-,1
1506104,Primavera (PA),Total,174,182,157,173,182,197,175,201,202,156,165,176,207,136,140,137,121,119,115,100,110,84,59,67,61,53,56,45,42,42,54,42,34,26,26,32,17,15,13,13,17,4,9,6,8,6,3,1,1,1,-,1,7
1506112,Quatipuru (PA),Total,142,186,188,172,178,199,200,213,228,162,169,138,216,155,153,158,165,135,114,113,112,96,68,54,59,43,49,46,42,43,38,28,33,23,29,33,13,14,23,12,12,9,7,9,6,2,2,-,4,2,-,1,8
1506138,Redenção (PA),Total,1342,1444,1415,1503,1467,1394,1361,1451,1445,1522,1528,1372,1519,1080,1173,997,1058,828,864,760,674,520,388,275,282,254,253,238,197,199,168,146,148,110,139,99,88,70,80,56,54,43,29,29,21,16,12,6,5,3,5,-,2
