Codigo,Municipio,Homens,Mulheres,Total
1508001,Tomé-Açu (PA),29323,27195,56518
1508035,Tracuateua (PA),14328,13127,27455
1508050,Trairão (PA),9146,7729,16875
1508084,Tucumã (PA),17489,16201,33690
1508100,Tucuruí (PA),48402,48726,97128
1508126,Ulianópolis (PA),22209,21132,43341
1508159,Uruará (PA),23633,21156,44789
1508209,Vigia (PA),24548,23341,47889
1508308,Viseu (PA),29817,26899,56716
1508357,Vitória do Xingu (PA),7281,6150,13431
1508407,Xinguara (PA),20572,20001,40573
