Codigo,Município,Urbana,Rural,Total
1508035,Tracuateua (PA),7256,20199,27455
1508050,Trairão (PA),5679,11196,16875
1508084,Tucumã (PA),26907,6783,33690
1508100,Tucuruí (PA),92442,4686,97128
1508126,Ulianópolis (PA),28525,14816,43341
1508159,Uruará (PA),24430,20359,44789
1508209,Vigia (PA),32353,15536,47889
1508308,Viseu (PA),18397,38319,56716
1508357,Vitória do Xingu (PA),5362,8069,13431
1508407,Xinguara (PA),31492,9081,40573
