Codigo,Municipio,Rural,Urbano,Ano,RI
150034,ÁGUA AZUL DO NORTE,4165,7190,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4146,7119,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,3882,6878,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4064,7077,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4226,7251,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,3953,6947,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4000,7012,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4259,7305,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,3465,8451,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3455,8481,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3444,8456,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3449,8490,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3467,8474,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3461,8456,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3515,8581,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3432,9024,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3392,9077,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3500,8536,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3389,8943,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3523,8629,2013,Araguaia
150040,ALENQUER,20263,21482,2013,Baixo Amazonas
150040,ALENQUER,20538,21434,2013,Baixo Amazonas
150040,ALENQUER,20021,21478,2013,Baixo Amazonas
150040,ALENQUER,20209,21515,2013,Baixo Amazonas
150040,ALENQUER,20327,21490,2013,Baixo Amazonas
150040,ALENQUER,20347,21444,2013,Baixo Amazonas
150040,ALENQUER,20323,21404,2013,Baixo Amazonas
150040,ALENQUER,20244,21303,2013,Baixo Amazonas
150040,ALENQUER,20416,21419,2013,Baixo Amazonas
150040,ALENQUER,20478,21422,2013,Baixo Amazonas
150040,ALENQUER,20893,21510,2013,Baixo Amazonas
150040,ALENQUER,20750,21544,2013,Baixo Amazonas
150040,ALENQUER,21923,22187,2022,Baixo Amazonas
150040,ALENQUER,22620,22606,2022,Baixo Amazonas
150040,ALENQUER,21499,21828,2022,Baixo Amazonas
150040,ALENQUER,22990,22876,2022,Baixo Amazonas
150040,ALENQUER,21568,21852,2022,Baixo Amazonas
150040,ALENQUER,21617,21894,2022,Baixo Amazonas
150040,ALENQUER,22075,22257,2022,Baixo Amazonas
150040,ALENQUER,23131,23003,2022,Baixo Amazonas
150040,ALENQUER,22370,22417,2022,Baixo Amazonas
150040,ALENQUER,23278,23078,2022,Baixo Amazonas
150040,ALENQUER,21757,22026,2022,Baixo Amazonas
150040,ALENQUER,22198,22329,2022,Baixo Amazonas
150050,ALMEIRIM,7933,14617,2013,Baixo Amazonas
150050,ALMEIRIM,6543,15419,2013,Baixo Amazonas
150050,ALMEIRIM,6939,15182,2013,Baixo Amazonas
150050,ALMEIRIM,7155,15178,2013,Baixo Amazonas
150050,ALMEIRIM,7686,14745,2013,Baixo Amazonas
150050,ALMEIRIM,7798,14657,2013,Baixo Amazonas
150050,ALMEIRIM,7939,14591,2013,Baixo Amazonas
150050,ALMEIRIM,8123,14503,2013,Baixo Amazonas
150050,ALMEIRIM,8131,14446,2013,Baixo Amazonas
150050,ALMEIRIM,8461,14536,2013,Baixo Amazonas
150050,ALMEIRIM,8252,14473,2013,Baixo Amazonas
150050,ALMEIRIM,8357,14524,2013,Baixo Amazonas
150050,ALMEIRIM,10215,15277,2022,Baixo Amazonas
150050,ALMEIRIM,10375,15591,2022,Baixo Amazonas
150050,ALMEIRIM,10410,15740,2022,Baixo Amazonas
150050,ALMEIRIM,9989,15005,2022,Baixo Amazonas
150050,ALMEIRIM,10154,15154,2022,Baixo Amazonas
150050,ALMEIRIM,10237,15404,2022,Baixo Amazonas
150050,ALMEIRIM,10501,15903,2022,Baixo Amazonas
150050,ALMEIRIM,10514,15926,2022,Baixo Amazonas
150050,ALMEIRIM,10338,15552,2022,Baixo Amazonas
150050,ALMEIRIM,10428,15815,2022,Baixo Amazonas
