Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total,RI,Ano
150280,Curralinho (PA),4925,2117,13,26835,13,33903,Marajó,2022
150285,Curuá (PA),1741,813,1,11552,10,14117,Baixo Amazonas,2022
150290,Curuçá (PA),7190,2159,33,31857,23,41262,Guamá,2022
150293,Dom Eliseu (PA),13176,6145,82,39034,47,58484,Rio Capim,2022
150295,Eldorado do Carajás (PA),5526,3409,22,19198,37,28192,Carajás,2022
150300,Faro (PA),1129,201,1,7314,83,8728,Baixo Amazonas,2022
150304,Floresta do Araguaia (PA),3816,1896,23,12134,29,17898,Araguaia,2022
150307,Garrafão do Norte (PA),3324,1523,29,19819,8,24703,Rio Capim,2022
150309,Goianésia do Pará (PA),5095,2860,15,18279,112,26362,Lago Tucuruí,2022
150310,Gurupá (PA),5092,1992,8,24643,51,31786,Marajó,2022
150320,Igarapé-Açu (PA),6803,2108,105,26754,25,35797,Guamá,2022
150330,Igarapé-Miri (PA),11507,11062,24,42215,23,64831,Tocantins,2022
150340,Inhangapi (PA),1030,1569,10,7709,7,10325,Guamá,2022
150345,Ipixuna do Pará (PA),4748,3052,26,22468,35,30329,Rio Capim,2022
150350,Irituia (PA),4224,3023,34,23661,12,30955,Rio Capim,2022
150360,Itaituba (PA),23860,13079,135,84202,2035,123314,Tapajós,2022
150370,Itupiranga (PA),9112,6270,62,33868,442,49754,Lago Tucuruí,2022
150375,Jacareacanga (PA),1854,1214,17,7141,13816,24042,Tapajós,2022
150380,Jacundá (PA),7819,4488,62,25293,42,37707,Lago Tucuruí,2022
150390,Juruti (PA),6241,2538,69,41921,112,50881,Baixo Amazonas,2022
150400,Limoeiro do Ajuru (PA),5112,1146,2,23296,13,29569,Tocantins,2022
150405,Mãe do Rio (PA),6601,2909,50,24779,13,34353,Rio Capim,2022
150410,Magalhães Barata (PA),1314,379,-,6421,1,8115,Guamá,2022
150420,Marabá (PA),48548,26407,266,190750,552,266533,Carajás,2022
150430,Maracanã (PA),4279,1361,5,20309,16,25971,Guamá,2022
150440,Marapanim (PA),4166,1385,2,21013,7,26573,Guamá,2022
150442,Marituba (PA),22505,11256,117,77809,94,111785,Guajará,2022
150445,Medicilândia (PA),5461,2625,70,18920,18,27094,Xingu,2022
150450,Melgaço (PA),3830,3075,14,20950,11,27881,Marajó,2022
150460,Mocajuba (PA),5067,3168,6,18910,47,27198,Tocantins,2022
150470,Moju (PA),11124,11077,74,61588,230,84094,Tocantins,2022
150475,Mojuí dos Campos (PA),3500,1301,26,18630,44,23501,Baixo Amazonas,2022
150480,Monte Alegre (PA),10163,3569,101,46122,57,60012,Baixo Amazonas,2022
150490,Muaná (PA),6048,2149,4,37166,1,45368,Marajó,2022
150495,Nova Esperança do Piriá (PA),3195,1417,24,15810,32,20478,Rio Capim,2022
150497,Nova Ipixuna (PA),2057,2235,10,9641,8,13955,Lago Tucuruí,2022
150500,Nova Timboteua (PA),2135,850,13,9804,3,12806,Rio Caeté,2022
150503,Novo Progresso (PA),9787,2721,65,20994,71,33638,Tapajós,2022
150506,Novo Repartimento (PA),10802,6568,134,42108,1119,60732,Lago Tucuruí,2022
150510,Óbidos (PA),7840,6399,15,37106,868,52229,Baixo Amazonas,2022
150520,Oeiras do Pará (PA),2839,3985,9,26996,15,33844,Tocantins,2022
150530,Oriximiná (PA),9451,9028,38,45975,3802,68294,Baixo Amazonas,2022
150540,Ourém (PA),2407,2015,16,13378,39,17855,Rio Capim,2022
150543,Ourilândia do Norte (PA),7164,3135,13,20686,1468,32467,Araguaia,2022
150548,Pacajá (PA),6988,4249,16,29811,33,41097,Xingu,2022
150549,Palestina do Pará (PA),1252,875,5,4748,5,6885,Carajás,2022
150550,Paragominas (PA),21410,10702,167,71824,1328,105550,Rio Capim,2022
150553,Parauapebas (PA),56707,26734,351,182069,1965,267836,Carajás,2022
150555,Pau D'Arco (PA),1245,608,6,4612,460,6931,Araguaia,2022
150560,Peixe-Boi (PA),1596,459,10,6217,3,8285,Rio Caeté,2022
150563,Piçarra (PA),2148,1680,25,8964,5,12832,Carajás,2022
150565,Placas (PA),4260,2321,43,12023,21,18668,Xingu,2022
150570,Ponta de Pedras (PA),4073,2179,11,18699,22,24984,Marajó,2022
150580,Portel (PA),8481,4200,14,49781,26,62503,Marajó,2022
150590,Porto de Moz (PA),4650,2239,11,33604,93,40597,Xingu,2022
150600,Prainha (PA),3653,2975,26,28900,23,35577,Baixo Amazonas,2022
150610,Primavera (PA),1631,529,8,8679,3,10851,Rio Caeté,2022
150611,Quatipuru (PA),2228,627,4,8653,12,11524,Rio Caeté,2022
150613,Redenção (PA),21094,10490,104,53606,299,85597,Araguaia,2022
