Codigo,Município,Urbana,Rural,Total,RI,Ano
150010,Abaetetuba (PA),82998,58102,141100,Tocantins,2010
150013,Abel Figueiredo (PA),6034,746,6780,Rio Capim,2010
150020,Acará (PA),12621,40948,53569,Tocantins,2010
150030,Afuá (PA),9478,25564,35042,Marajó,2010
150034,Água Azul do Norte (PA),4876,20181,25057,Araguaia,2010
150040,Alenquer (PA),27722,24904,52626,Baixo Amazonas,2010
150050,Almeirim (PA),19965,13649,33614,Baixo Amazonas,2010
150060,Altamira (PA),84092,14983,99075,Xingu,2010
150070,Anajás (PA),9494,15265,24759,Marajó,2010
150080,Ananindeua (PA),470819,1161,471980,Guajará,2010
150085,Anapu (PA),9833,10710,20543,Xingu,2010
150090,Augusto Corrêa (PA),18240,22257,40497,Rio Caeté,2010
150095,Aurora do Pará (PA),8168,18378,26546,Rio Capim,2010
150100,Aveiro (PA),3179,12670,15849,Tapajós,2010
150110,Bagre (PA),10661,13203,23864,Marajó,2010
150120,Baião (PA),18555,18327,36882,Tocantins,2010
150125,Bannach (PA),1282,2149,3431,Araguaia,2010
150130,Barcarena (PA),36297,63562,99859,Tocantins,2010
150140,Belém (PA),1381475,11924,1393399,Guajará,2010
150145,Belterra (PA),6852,9466,16318,Baixo Amazonas,2010
150150,Benevides (PA),28912,22739,51651,Guajará,2010
150157,Bom Jesus do Tocantins (PA),8158,7140,15298,Carajás,2010
150160,Bonito (PA),3827,9803,13630,Rio Caeté,2010
150170,Bragança (PA),72621,40606,113227,Rio Caeté,2010
150172,Brasil Novo (PA),6899,8791,15690,Xingu,2010
150175,Brejo Grande do Araguaia (PA),4308,3009,7317,Carajás,2010
150178,Breu Branco (PA),29308,23185,52493,Lago Tucuruí,2010
150180,Breves (PA),46560,46300,92860,Marajó,2010
150190,Bujaru (PA),8099,17596,25695,Rio Capim,2010
150195,Cachoeira do Piriá (PA),5532,20952,26484,Rio Caeté,2010
150200,Cachoeira do Arari (PA),7356,13087,20443,Marajó,2010
150210,Cametá (PA),52838,68058,120896,Tocantins,2010
150215,Canaã dos Carajás (PA),20727,5989,26716,Carajás,2010
150220,Capanema (PA),50732,12907,63639,Rio Caeté,2010
150230,Capitão Poço (PA),21441,30452,51893,Rio Capim,2010
150240,Castanhal (PA),153378,19771,173149,Guamá,2010
150250,Chaves (PA),2510,18495,21005,Marajó,2010
150260,Colares (PA),3661,7720,11381,Guamá,2010
150270,Conceição do Araguaia (PA),32464,13093,45557,Araguaia,2010
150275,Concórdia do Pará (PA),15088,13128,28216,Rio Capim,2010
150276,Cumaru do Norte (PA),2711,7755,10466,Araguaia,2010
150277,Curionópolis (PA),12530,5758,18288,Carajás,2010
150280,Curralinho (PA),10930,17619,28549,Marajó,2010
150285,Curuá (PA),5781,6473,12254,Baixo Amazonas,2010
150290,Curuçá (PA),12174,22120,34294,Guamá,2010
150293,Dom Eliseu (PA),32516,18803,51319,Rio Capim,2010
150295,Eldorado do Carajás (PA),16578,15208,31786,Carajás,2010
150300,Faro (PA),6128,2049,8177,Baixo Amazonas,2010
150304,Floresta do Araguaia (PA),8714,9054,17768,Araguaia,2010
150307,Garrafão do Norte (PA),8607,16427,25034,Rio Capim,2010
150309,Goianésia do Pará (PA),21082,9354,30436,Lago Tucuruí,2010
150310,Gurupá (PA),9580,19482,29062,Marajó,2010
150320,Igarapé-Açu (PA),21207,14680,35887,Guamá,2010
150330,Igarapé-Miri (PA),26205,31872,58077,Tocantins,2010
150340,Inhangapi (PA),2771,7266,10037,Guamá,2010
150345,Ipixuna do Pará (PA),12227,39082,51309,Rio Capim,2010
150350,Irituia (PA),6524,24840,31364,Rio Capim,2010
150360,Itaituba (PA),70682,26811,97493,Tapajós,2010
150370,Itupiranga (PA),20490,30730,51220,Lago Tucuruí,2010
150375,Jacareacanga (PA),4930,9173,14103,Tapajós,2010
150380,Jacundá (PA),45683,5677,51360,Lago Tucuruí,2010
150390,Juruti (PA),15852,31234,47086,Baixo Amazonas,2010
150400,Limoeiro do Ajuru (PA),6197,18824,25021,Tocantins,2010
150405,Mãe do Rio (PA),23052,4852,27904,Rio Capim,2010
150410,Magalhães Barata (PA),3795,4320,8115,Guamá,2010
150420,Marabá (PA),186270,47399,233669,Carajás,2010
150430,Maracanã (PA),11656,16720,28376,Guamá,2010
150440,Marapanim (PA),11704,14901,26605,Guamá,2010
150442,Marituba (PA),107123,1123,108246,Guajará,2010
150445,Medicilândia (PA),9559,17769,27328,Xingu,2010
150450,Melgaço (PA),5503,19305,24808,Marajó,2010
150460,Mocajuba (PA),18279,8452,26731,Tocantins,2010
150470,Moju (PA),25162,44856,70018,Tocantins,2010
