Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total
150620,SALINÓPOLIS,1356.0,1442.0,1698.0,1650.0,1619.0,1283.0,,856.0,700.0,556.0,490.0,370.0,1180.0,37421.0
150630,SALVATERRA,774.0,795.0,904.0,915.0,854.0,618.0,,444.0,372.0,350.0,269.0,235.0,786.0,20183.0
150635,SANTA BÁRBARA DO PARÁ,632.0,642.0,678.0,713.0,641.0,575.0,,420.0,299.0,251.0,212.0,197.0,549.0,17141.0
150640,SANTA CRUZ DO ARARI,263.0,313.0,361.0,360.0,403.0,293.0,,187.0,174.0,110.0,92.0,83.0,252.0,8155.0
150650,SANTA IZABEL DO PARÁ,1963.0,2154.0,2338.0,2500.0,2581.0,2133.0,,1561.0,1058.0,830.0,672.0,566.0,1804.0,59466.0
150655,SANTA LUZIA DO PARÁ,774.0,830.0,897.0,954.0,799.0,605.0,,374.0,333.0,293.0,219.0,184.0,718.0,19424.0
150658,SANTA MARIA DAS BARREIRAS,644.0,652.0,752.0,654.0,612.0,535.0,,465.0,399.0,335.0,314.0,209.0,467.0,17206.0
150660,SANTA MARIA DO PARÁ,741.0,861.0,966.0,1006.0,941.0,801.0,,579.0,422.0,381.0,295.0,220.0,954.0,23026.0
150670,SANTANA DO ARAGUAIA,2062.0,2573.0,2346.0,2077.0,2369.0,2161.0,,1456.0,1094.0,878.0,562.0,502.0,869.0,56153.0
150680,SANTARÉM,11653.0,11994.0,13082.0,13115.0,11993.0,9710.0,,6573.0,5673.0,4740.0,3771.0,2902.0,10181.0,294580.0
150690,SANTARÉM NOVO,250.0,273.0,263.0,274.0,246.0,182.0,,123.0,104.0,80.0,79.0,71.0,237.0,6141.0
150700,SANTO ANTÔNIO DO TAUÁ,1034.0,1015.0,1125.0,1223.0,1088.0,878.0,,570.0,481.0,403.0,338.0,294.0,910.0,26674.0
150710,SÃO CAETANO DE ODIVELAS,641.0,691.0,712.0,797.0,667.0,565.0,,358.0,276.0,283.0,221.0,191.0,727.0,16891.0
150715,SÃO DOMINGOS DO ARAGUAIA,957.0,965.0,1132.0,1036.0,906.0,711.0,,416.0,373.0,332.0,324.0,244.0,900.0,23130.0
150720,SÃO DOMINGOS DO CAPIM,1517.0,1613.0,1558.0,1390.0,1171.0,858.0,,553.0,380.0,330.0,348.0,295.0,854.0,29846.0
150730,SÃO FÉLIX DO XINGU,3016.0,3585.0,3756.0,3293.0,3834.0,3659.0,,2737.0,1897.0,1480.0,913.0,745.0,1122.0,91340.0
150740,SÃO FRANCISCO DO PARÁ,484.0,564.0,619.0,629.0,553.0,480.0,,304.0,299.0,255.0,232.0,169.0,659.0,15060.0
150745,SÃO GERALDO DO ARAGUAIA,974.0,1015.0,1091.0,1126.0,973.0,910.0,,594.0,458.0,428.0,337.0,271.0,885.0,25587.0
150746,SÃO JOÃO DA PONTA,198.0,272.0,245.0,237.0,214.0,143.0,,102.0,101.0,83.0,78.0,61.0,258.0,5265.0
150747,SÃO JOÃO DE PIRABAS,787.0,923.0,910.0,914.0,851.0,620.0,,400.0,340.0,312.0,281.0,240.0,931.0,20647.0
150750,SÃO JOÃO DO ARAGUAIA,566.0,633.0,595.0,611.0,482.0,383.0,,290.0,259.0,205.0,195.0,151.0,411.0,13155.0
150760,SÃO MIGUEL DO GUAMÁ,2173.0,2269.0,2366.0,2299.0,2078.0,1701.0,,1116.0,898.0,713.0,575.0,492.0,1713.0,51567.0
150770,SÃO SEBASTIÃO DA BOA VISTA,1085.0,1110.0,1169.0,1112.0,990.0,744.0,,445.0,313.0,290.0,225.0,169.0,702.0,22904.0
150775,SAPUCAIA,181.0,178.0,210.0,196.0,206.0,160.0,,146.0,117.0,91.0,61.0,46.0,102.0,5047.0
150780,SENADOR JOSÉ PORFÍRIO,633.0,651.0,635.0,513.0,484.0,393.0,,285.0,243.0,186.0,147.0,104.0,222.0,13045.0
150790,SOURE,861.0,912.0,1000.0,1055.0,926.0,760.0,,553.0,445.0,363.0,313.0,233.0,931.0,23001.0
150795,TAILÂNDIA,3276.0,3653.0,3767.0,3089.0,3564.0,3245.0,,1829.0,1256.0,872.0,627.0,563.0,1046.0,79297.0
150796,TERRA ALTA,391.0,419.0,454.0,473.0,406.0,307.0,,271.0,190.0,150.0,139.0,128.0,424.0,10262.0
150797,TERRA SANTA,665.0,753.0,792.0,789.0,681.0,548.0,,351.0,267.0,276.0,207.0,166.0,606.0,16949.0
150800,TOMÉ-AÇU,2582.0,2608.0,2632.0,2529.0,2389.0,1789.0,,1198.0,834.0,737.0,592.0,463.0,1530.0,56518.0
150803,TRACUATEUA,1150.0,1199.0,1309.0,1292.0,1112.0,818.0,,574.0,463.0,395.0,340.0,243.0,989.0,27455.0
150805,TRAIRÃO,736.0,694.0,738.0,648.0,705.0,648.0,,360.0,298.0,280.0,203.0,144.0,281.0,16875.0
150808,TUCUMÃ,1344.0,1255.0,1424.0,1441.0,1418.0,1186.0,,814.0,685.0,561.0,405.0,300.0,711.0,33690.0
150810,TUCURUÍ,4005.0,4097.0,4233.0,4227.0,4186.0,3491.0,,2227.0,1694.0,1466.0,1083.0,771.0,2020.0,97128.0
150812,ULIANÓPOLIS,1814.0,1927.0,1926.0,1533.0,1814.0,1702.0,,1102.0,648.0,746.0,368.0,324.0,480.0,43341.0
150815,URUARÁ,1899.0,1883.0,1945.0,1884.0,1790.0,1670.0,,1032.0,809.0,647.0,475.0,420.0,976.0,44789.0
150820,VIGIA,1705.0,1833.0,2041.0,2125.0,2001.0,1617.0,,1138.0,854.0,791.0,645.0,523.0,1800.0,47889.0
150830,VISEU,2875.0,3026.0,2984.0,2627.0,2269.0,1661.0,,1072.0,809.0,798.0,617.0,542.0,1762.0,56716.0
150835,VITÓRIA DO XINGU,463.0,550.0,559.0,546.0,554.0,490.0,,351.0,250.0,196.0,172.0,146.0,353.0,13431.0
150840,XINGUARA,1520.0,1527.0,1683.0,1601.0,1622.0,1462.0,,1033.0,840.0,664.0,528.0,383.0,1069.0,40573.0
