Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total
150150,Benevides (PA),3639,2920,9833,2171,7137,9607,3828,3130,2412,2066,1513,1092,2294,51651
150157,Bom Jesus do Tocantins (PA),1153,907,2988,632,2091,2532,971,859,768,594,559,451,791,15298
150160,Bonito (PA),1201,875,2628,563,1972,2500,873,716,541,476,386,278,620,13630
150170,Bragança (PA),9259,7181,22810,5025,16440,18381,7186,5843,4792,4121,3374,2698,6109,113227
150172,Brasil Novo (PA),1176,904,3026,673,2002,2546,1076,958,891,645,513,422,858,15690
150175,Brejo Grande do Araguaia (PA),594,487,1466,353,966,1168,406,385,345,310,270,178,389,7317
150178,Breu Branco (PA),4721,3816,11657,2248,7443,8665,3080,2517,2097,1776,1463,1048,1959,52493
150180,Breves (PA),9604,7409,23204,4456,12369,13368,5038,3855,3104,2651,2271,1626,3887,92860
150190,Bujaru (PA),2251,1944,5843,1207,3351,3877,1593,1346,972,788,682,535,1302,25695
150195,Cachoeira do Piriá (PA),2704,2253,6209,1043,3672,4242,1559,1390,961,770,576,414,691,26484
150200,Cachoeira do Arari (PA),1717,1291,4187,894,2805,3304,1198,1140,948,712,584,444,1216,20443
150210,Cametá (PA),10821,8240,26819,5636,17683,18955,6796,5481,4245,3778,3428,2616,6378,120896
150215,Canaã dos Carajás (PA),2277,1707,5128,1092,3816,5277,1948,1524,1218,887,641,438,761,26716
150220,Capanema (PA),4270,3381,11709,2689,8610,10989,4493,3756,3273,2644,2242,1621,3951,63639
150230,Capitão Poço (PA),3888,3293,11188,2504,7228,8242,3283,2899,2219,1802,1511,1143,2689,51893
150240,Castanhal (PA),12231,9193,31144,7219,25162,32169,12622,10736,8398,6871,5218,3847,8326,173149
150250,Chaves (PA),2164,1713,4955,929,2865,2982,1123,975,778,634,575,409,895,21005
150260,Colares (PA),957,701,2291,541,1498,1611,661,626,512,413,395,345,827,11381
150270,Conceição do Araguaia (PA),3192,2633,8916,1942,5382,7218,3100,2789,2298,2001,1688,1409,2978,45557
150275,Concórdia do Pará (PA),2557,1996,5955,1338,4257,4618,1731,1385,935,777,703,610,1351,28216
150276,Cumaru do Norte (PA),898,659,1888,358,1220,2005,746,743,656,473,338,230,252,10466
150277,Curionópolis (PA),1421,1118,3624,843,2460,2655,959,919,968,883,716,527,1194,18288
150280,Curralinho (PA),3263,2514,7153,1396,3954,4078,1457,1038,881,689,587,454,1070,28549
