Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total,Ano
150700,Santo Antônio do Tauá (PA),1714,1417,4347,982,2955,4253,2106,2087,1785,1495,1204,871,2613,27461,2022
150710,São Caetano de Odivelas (PA),974,801,2502,597,1757,2538,1308,1262,1026,984,760,548,1825,16666,2022
150715,São Domingos do Araguaia (PA),1464,1081,3576,832,2571,3019,1631,1510,1247,1015,935,580,1961,21092,2022
150720,São Domingos do Capim (PA),2098,1721,6060,1420,3923,4419,2117,1955,1742,1367,1147,686,2416,30599,2022
150730,São Félix do Xingu (PA),4665,3686,10681,2292,8043,10476,5861,4919,3966,3459,2958,1699,3731,65418,2022
150740,São Francisco do Pará (PA),883,656,2201,536,1638,2170,1156,1148,910,840,787,528,1622,14894,2022
150745,São Geraldo do Araguaia (PA),1870,1344,4097,862,2839,3652,1856,1729,1476,1207,1060,676,2040,24255,2022
150746,São João da Ponta (PA),288,218,712,154,464,607,297,296,269,261,205,197,520,4430,2022
150747,São João de Pirabas (PA),1302,1016,3324,769,2242,3085,1580,1513,1287,1100,891,700,2166,20689,2022
150750,São João do Araguaia (PA),1003,774,2443,521,1384,1882,967,935,807,724,685,468,1296,13664,2022
150760,São Miguel do Guamá (PA),3688,2858,8857,2125,6619,8300,4113,3743,3186,2556,2111,1355,4218,52894,2022
150770,São Sebastião da Boa Vista (PA),2071,1553,4797,1032,3495,4378,2000,1568,1284,1048,796,532,1568,25643,2022
150775,Sapucaia (PA),385,360,1044,179,753,962,415,439,314,305,234,152,375,5847,2022
150780,Senador José Porfírio (PA),1836,1457,4381,888,2711,3392,1724,1603,1409,1017,911,537,1131,22576,2022
150790,Soure (PA),1495,1175,3904,849,2818,3825,1889,1706,1431,1320,1117,765,2222,24204,2022
150795,Tailândia (PA),5562,4219,13672,2989,9866,12699,5993,5057,3844,2882,2263,1331,3401,72493,2022
150796,Terra Alta (PA),680,516,1669,364,1110,1517,797,758,675,576,497,346,1051,10400,2022
150797,Terra Santa (PA),1437,1087,3279,674,2218,3149,1494,1340,1026,849,666,464,1405,18782,2022
150800,Tomé-Açu (PA),5459,4135,12452,2533,8564,11310,5098,4775,3653,2995,2207,1392,4294,67585,2022
150803,Tracuateua (PA),1759,1465,4993,1130,3227,4234,2206,2060,1749,1398,1267,915,2583,28595,2022
150805,Trairão (PA),1233,942,2546,579,1886,2433,1209,1128,842,719,582,390,1039,15242,2022
150808,Tucumã (PA),2937,2203,6238,1298,4896,6682,3323,3031,2361,1878,1542,1081,2699,39550,2022
150810,Tucuruí (PA),5867,4834,14884,3458,11681,14382,7173,6713,5539,4476,3913,2696,6976,91306,2022
150812,Ulianópolis (PA),2176,2255,5388,1280,5057,7031,3774,3287,1961,1774,1303,1291,1740,37972,2022
150815,Uruará (PA),3343,2474,7447,1591,5224,7030,3474,3136,2491,2093,1855,1164,3009,43558,2022
150820,Vigia (PA),2944,2382,7517,1793,5651,8222,4232,3963,3179,2796,2258,1591,4899,50832,2022
150830,Viseu (PA),4342,3492,11827,2701,7406,8578,4239,3693,2899,2386,2140,1579,4345,58692,2022
150835,Vitória do Xingu (PA),1087,962,2856,608,1783,2510,1155,1130,871,755,638,388,1102,15607,2022
150840,Xinguara (PA),3713,2832,8213,1816,6658,9024,4397,3954,3217,2646,2176,1370,3722,52893,2022
