Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total,RI,Ano,Homens,Mulheres
150405,Mãe do Rio (PA),6601.0,2909.0,50,24779.0,13.0,34353,Rio Capim,2022,,
150410,Magalhães Barata (PA),1314.0,379.0,-,6421.0,1.0,8115,Guamá,2022,,
150420,Marabá (PA),48548.0,26407.0,266,190750.0,552.0,266533,Carajás,2022,,
150430,Maracanã (PA),4279.0,1361.0,5,20309.0,16.0,25971,Guamá,2022,,
150440,Marapanim (PA),4166.0,1385.0,2,21013.0,7.0,26573,Guamá,2022,,
150442,Marituba (PA),22505.0,11256.0,117,77809.0,94.0,111785,Guajará,2022,,
150445,Medicilândia (PA),5461.0,2625.0,70,18920.0,18.0,27094,Xingu,2022,,
150450,Melgaço (PA),3830.0,3075.0,14,20950.0,11.0,27881,Marajó,2022,,
150460,Mocajuba (PA),5067.0,3168.0,6,18910.0,47.0,27198,Tocantins,2022,,
150470,Moju (PA),11124.0,11077.0,74,61588.0,230.0,84094,Tocantins,2022,,
150475,Mojuí dos Campos (PA),3500.0,1301.0,26,18630.0,44.0,23501,Baixo Amazonas,2022,,
150480,Monte Alegre (PA),10163.0,3569.0,101,46122.0,57.0,60012,Baixo Amazonas,2022,,
150490,Muaná (PA),6048.0,2149.0,4,37166.0,1.0,45368,Marajó,2022,,
150495,Nova Esperança do Piriá (PA),3195.0,1417.0,24,15810.0,32.0,20478,Rio Capim,2022,,
150497,Nova Ipixuna (PA),2057.0,2235.0,10,9641.0,8.0,13955,Lago Tucuruí,2022,,
150500,Nova Timboteua (PA),2135.0,850.0,13,9804.0,3.0,12806,Rio Caeté,2022,,
150503,Novo Progresso (PA),9787.0,2721.0,65,20994.0,71.0,33638,Tapajós,2022,,
150506,Novo Repartimento (PA),10802.0,6568.0,134,42108.0,1119.0,60732,Lago Tucuruí,2022,,
150510,Óbidos (PA),7840.0,6399.0,15,37106.0,868.0,52229,Baixo Amazonas,2022,,
150520,Oeiras do Pará (PA),2839.0,3985.0,9,26996.0,15.0,33844,Tocantins,2022,,
150530,Oriximiná (PA),9451.0,9028.0,38,45975.0,3802.0,68294,Baixo Amazonas,2022,,
150540,Ourém (PA),2407.0,2015.0,16,13378.0,39.0,17855,Rio Capim,2022,,
150543,Ourilândia do Norte (PA),7164.0,3135.0,13,20686.0,1468.0,32467,Araguaia,2022,,
150548,Pacajá (PA),6988.0,4249.0,16,29811.0,33.0,41097,Xingu,2022,,
150549,Palestina do Pará (PA),1252.0,875.0,5,4748.0,5.0,6885,Carajás,2022,,
150550,Paragominas (PA),21410.0,10702.0,167,71824.0,1328.0,105550,Rio Capim,2022,,
150553,Parauapebas (PA),56707.0,26734.0,351,182069.0,1965.0,267836,Carajás,2022,,
150555,Pau D'Arco (PA),1245.0,608.0,6,4612.0,460.0,6931,Araguaia,2022,,
