Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total
1506906,Santarém Novo (PA),730,287,26,5098,-,6141
1507003,Santo Antônio do Tauá (PA),5717,1212,238,19468,39,26674
1507102,São Caetano de Odivelas (PA),3183,381,34,13292,1,16891
1507151,São Domingos do Araguaia (PA),5244,2313,395,15165,13,23130
1507201,São Domingos do Capim (PA),3595,1777,116,24358,-,29846
1507300,São Félix do Xingu (PA),22846,11018,1329,54853,1294,91340
1507409,São Francisco do Pará (PA),2584,643,59,11773,1,15060
1507458,São Geraldo do Araguaia (PA),5669,2507,309,16797,305,25587
1507466,São João da Ponta (PA),452,64,4,4744,1,5265
1507474,São João de Pirabas (PA),3814,1100,94,15637,2,20647
1507508,São João do Araguaia (PA),2258,1317,151,9418,11,13155
1507607,São Miguel do Guamá (PA),5988,2873,240,42447,19,51567
1507706,São Sebastião da Boa Vista (PA),4154,420,40,18290,-,22904
1507755,Sapucaia (PA),1333,277,39,3391,7,5047
1507805,Senador José Porfírio (PA),1785,1063,59,9700,438,13045
1507904,Soure (PA),3483,2944,270,16262,42,23001
1507953,Tailândia (PA),18306,7454,1527,51946,64,79297
1507961,Terra Alta (PA),2148,293,33,7785,3,10262
1507979,Terra Santa (PA),3410,530,94,12888,27,16949
1508001,Tomé-Açu (PA),10977,4414,770,40057,300,56518
1508035,Tracuateua (PA),2790,568,56,24040,1,27455
1508050,Trairão (PA),4007,1615,401,10520,332,16875
1508084,Tucumã (PA),11229,2521,603,19277,58,33690
1508100,Tucuruí (PA),24275,8349,811,63132,561,97128
1508126,Ulianópolis (PA),9732,4422,446,28724,17,43341
1508159,Uruará (PA),11896,3325,459,29071,38,44789
1508209,Vigia (PA),11119,1877,229,34645,19,47889
1508308,Viseu (PA),8954,3131,602,43983,46,56716
1508357,Vitória do Xingu (PA),3016,1061,306,8919,129,13431
1508407,Xinguara (PA),10924,3062,801,25737,49,40573
