Município,Homens,Mulheres,Total
São João do Araguaia (PA),7149.0,6006.0,13155.0
São Miguel do Guamá (PA),26028.0,25539.0,51567.0
São Sebastião da Boa Vista (PA),11833.0,11071.0,22904.0
Sapucaia (PA),2710.0,2337.0,5047.0
Senador José Porfírio (PA),6995.0,6050.0,13045.0
Soure (PA),11472.0,11529.0,23001.0
Tailândia (PA),40991.0,38306.0,79297.0
Terra Alta (PA),5272.0,4990.0,10262.0
Terra Santa (PA),8776.0,8173.0,16949.0
Tomé-Açu (PA),29323.0,27195.0,56518.0
Tracuateua (PA),14328.0,13127.0,27455.0
Trairão (PA),9146.0,7729.0,16875.0
Tucumã (PA),17489.0,16201.0,33690.0
Tucuruí (PA),48402.0,48726.0,97128.0
Ulianópolis (PA),22209.0,21132.0,43341.0
Uruará (PA),23633.0,21156.0,44789.0
Vigia (PA),24548.0,23341.0,47889.0
Viseu (PA),29817.0,26899.0,56716.0
Vitória do Xingu (PA),7281.0,6150.0,13431.0
Xinguara (PA),20572.0,20001.0,40573.0
Fonte: IBGE - Censo Demográfico,,,
