Codigo,Município,Rural,Urbana,RI,Ano
150658,Santa Maria das Barreiras (PA),10849,6357,Araguaia,2010
150660,Santa Maria do Pará (PA),9698,13328,Guamá,2010
150670,Santana do Araguaia (PA),26490,29663,Araguaia,2010
150680,Santarém (PA),78790,215790,Baixo Amazonas,2010
150690,Santarém Novo (PA),4332,1809,Rio Caeté,2010
150700,Santo Antônio do Tauá (PA),11803,14871,Guamá,2010
150710,São Caetano de Odivelas (PA),9933,6958,Guamá,2010
150715,São Domingos do Araguaia (PA),7876,15254,Carajás,2010
150720,São Domingos do Capim (PA),23257,6589,Guamá,2010
150730,São Félix do Xingu (PA),46227,45113,Araguaia,2010
150740,São Francisco do Pará (PA),9947,5113,Guamá,2010
150745,São Geraldo do Araguaia (PA),11997,13590,Carajás,2010
150746,São João da Ponta (PA),4234,1031,Guamá,2010
150747,São João de Pirabas (PA),10160,10487,Rio Caeté,2010
150750,São João do Araguaia (PA),10569,2586,Carajás,2010
150760,São Miguel do Guamá (PA),19683,31884,Guamá,2010
150770,São Sebastião da Boa Vista (PA),13002,9902,Marajó,2010
150775,Sapucaia (PA),1722,3325,Araguaia,2010
150780,Senador José Porfírio (PA),6575,6470,Xingu,2010
150790,Soure (PA),1986,21015,Marajó,2010
150795,Tailândia (PA),20584,58713,Tocantins,2010
150796,Terra Alta (PA),5928,4334,Guamá,2010
150797,Terra Santa (PA),6614,10335,Baixo Amazonas,2010
150800,Tomé-Açu (PA),24955,31563,Rio Capim,2010
150803,Tracuateua (PA),20199,7256,Rio Caeté,2010
150805,Trairão (PA),11196,5679,Tapajós,2010
150808,Tucumã (PA),6783,26907,Araguaia,2010
150810,Tucuruí (PA),4686,92442,Lago Tucuruí,2010
150812,Ulianópolis (PA),14816,28525,Rio Capim,2010
150815,Uruará (PA),20359,24430,Xingu,2010
150820,Vigia (PA),15536,32353,Guamá,2010
150830,Viseu (PA),38319,18397,Rio Caeté,2010
150835,Vitória do Xingu (PA),8069,5362,Xingu,2010
150840,Xinguara (PA),9081,31492,Araguaia,2010
0,,25572339,177508417,,2022
1,,2024601,6095530,,2022
150010,,59798,98390,Tocantins,2022
150013,,770,5366,Rio Capim,2022
150020,,45944,13079,Tocantins,2022
150030,,25890,11875,Marajó,2022
150034,,8778,9302,Araguaia,2022
150040,,34224,35153,Baixo Amazonas,2022
150050,,11780,22500,Baixo Amazonas,2022
150060,,22077,104202,Xingu,2022
150070,,15705,12306,Marajó,2022
150080,,1480,477298,Guajará,2022
150085,,16010,15840,Xingu,2022
150090,,21629,22944,Rio Caeté,2022
150095,,13638,10136,Rio Capim,2022
150100,,13873,4417,Tapajós,2022
150110,,18889,13003,Marajó,2022
150120,,24330,27311,Tocantins,2022
150125,,2420,1611,Araguaia,2022
150130,,22163,104487,Tocantins,2022
150140,,6770,1296633,Guajará,2022
150145,,9321,8778,Baixo Amazonas,2022
150150,,3269,60298,Guajará,2022
150157,,7672,10333,Carajás,2022
150160,,5697,6925,Rio Caeté,2022
150170,,35474,87608,Rio Caeté,2022
150172,,11314,13404,Xingu,2022
150175,,2991,3792,Carajás,2022
150178,,17212,28500,Lago Tucuruí,2022
150180,,51459,55509,Marajó,2022
150190,,15723,8660,Rio Capim,2022
150195,,12478,7152,Rio Caeté,2022
150200,,12618,11363,Marajó,2022
150210,,65971,68213,Tocantins,2022
150215,,7747,69332,Carajás,2022
150220,,10690,59704,Rio Caeté,2022
150230,,25301,31205,Rio Capim,2022
150240,,14389,177867,Guamá,2022
150250,,16071,4686,Marajó,2022
150260,,7775,5093,Guamá,2022
150270,,11460,33157,Araguaia,2022
150275,,10389,16492,Rio Capim,2022
150276,,9035,5001,Araguaia,2022
150277,,2045,17905,Carajás,2022
150280,,20388,13515,Marajó,2022
150285,,6759,7358,Baixo Amazonas,2022
150290,,16546,24716,Guamá,2022
150293,,9163,49321,Rio Capim,2022
150295,,10939,17253,Carajás,2022
150300,,1530,7198,Baixo Amazonas,2022
150304,,7449,10449,Araguaia,2022
150307,,10515,14188,Rio Capim,2022
150309,,9572,16790,Lago Tucuruí,2022
150310,,18558,13228,Marajó,2022
150320,,10935,24862,Guamá,2022
150330,,35920,28911,Tocantins,2022
150340,,6666,3659,Guamá,2022
150345,,14797,15532,Rio Capim,2022
150350,,21997,8958,Rio Capim,2022
150360,,16030,107284,Tapajós,2022
150370,,21196,28558,Lago Tucuruí,2022
150375,,13892,10150,Tapajós,2022
150380,,4006,33701,Lago Tucuruí,2022
150390,,21090,29791,Baixo Amazonas,2022
150400,,20834,8735,Tocantins,2022
150405,,6519,27834,Rio Capim,2022
150410,,4258,3857,Guamá,2022
150420,,26814,239719,Carajás,2022
150430,,15158,10813,Guamá,2022
150440,,11324,15249,Guamá,2022
150442,,306,111479,Guajará,2022
150445,,16349,10745,Xingu,2022
150450,,18224,9657,Marajó,2022
150460,,7774,19424,Tocantins,2022
150470,,50886,33208,Tocantins,2022
150475,,15038,8463,Baixo Amazonas,2022
