Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total,Ano
150350,Irituia (PA),2622,2060,6714,1410,4137,4791,1904,1612,1160,1043,1061,890,1951,31364,2010
150360,Itaituba (PA),7210,5833,20100,4352,13257,16848,6238,5680,4917,4034,2987,2135,3897,97493,2010
150370,Itupiranga (PA),4638,3640,11221,2239,6800,8061,2936,2521,2143,1923,1692,1231,2169,51220,2010
150375,Jacareacanga (PA),1336,1031,2668,465,1888,2342,961,1075,834,600,347,250,306,14103,2010
150380,Jacundá (PA),3979,3116,9992,2221,7993,9221,3506,3042,2145,1678,1359,956,2149,51360,2010
150390,Juruti (PA),4922,3797,11176,2103,6438,7091,2475,1986,1618,1417,1188,820,2051,47086,2010
150400,Limoeiro do Ajuru (PA),2334,1879,5909,1192,3740,3800,1424,1136,850,718,576,434,1022,25021,2010
150405,Mãe do Rio (PA),2199,1763,5622,1214,3930,4620,1859,1576,1073,989,848,642,1569,27904,2010
150410,Magalhães Barata (PA),639,512,1747,391,1011,1179,399,410,352,313,278,274,610,8115,2010
150420,Marabá (PA),19679,14774,44035,9564,34568,43974,15622,13111,10705,8433,6319,4315,8552,233669,2010
150430,Maracanã (PA),2157,1826,6326,1362,3481,4025,1589,1424,1233,1080,979,824,2058,28376,2010
150440,Marapanim (PA),1861,1528,5608,1258,3200,3911,1618,1398,1177,1133,999,808,2101,26605,2010
150442,Marituba (PA),7711,5982,19534,4050,15237,22281,8794,6960,5053,4017,2857,2040,3715,108246,2010
150445,Medicilândia (PA),2105,1705,5479,1223,3837,4696,1771,1621,1339,1078,838,578,1058,27328,2010
150450,Melgaço (PA),2963,2271,6402,1243,3506,3659,1259,920,664,502,478,293,645,24808,2010
150460,Mocajuba (PA),2283,2042,6149,1254,3753,3886,1487,1298,960,832,704,598,1475,26731,2010
150470,Moju (PA),6560,5177,15898,3340,9978,11138,4109,3281,2638,2107,1794,1269,2725,70018,2010
150480,Monte Alegre (PA),4108,3476,12411,2707,6630,8384,3515,2913,2444,2118,1857,1440,3454,55462,2010
150490,Muaná (PA),3073,2484,7644,1541,4835,5560,2082,1628,1308,1079,878,660,1427,34204,2010
150495,Nova Esperança do Piriá (PA),2003,1502,4722,958,2844,3327,1203,934,704,549,453,400,558,20158,2010
150497,Nova Ipixuna (PA),1205,972,3063,627,1920,2360,880,755,651,585,504,396,726,14645,2010
150500,Nova Timboteua (PA),877,755,2473,530,1763,2293,925,825,655,608,506,433,1024,13670,2010
150503,Novo Progresso (PA),1916,1551,4784,979,3204,4423,1923,1809,1546,1126,781,511,570,25124,2010
150506,Novo Repartimento (PA),5604,4352,13732,2727,8252,10204,3724,3164,2665,2175,1835,1354,2260,62050,2010
150510,Óbidos (PA),4476,3564,10545,2159,5950,7530,2938,2493,2066,1775,1616,1248,2966,49333,2010
150520,Oeiras do Pará (PA),3187,2478,7072,1317,3791,4124,1547,1190,890,693,671,519,1111,28595,2010
150530,Oriximiná (PA),5729,4700,14233,2884,7828,9881,3723,3029,2563,2193,1736,1334,2958,62794,2010
150540,Ourém (PA),1238,1046,3435,777,2127,2587,965,875,733,563,538,413,1013,16311,2010
150543,Ourilândia do Norte (PA),2240,1685,5356,1213,4114,5216,1984,1667,1213,850,627,412,782,27359,2010
150548,Pacajá (PA),3550,2692,8646,1836,5457,6375,2385,2071,1730,1454,1239,908,1631,39979,2010
150549,Palestina do Pará (PA),597,506,1461,340,1005,1187,429,358,348,293,271,238,439,7475,2010
150550,Paragominas (PA),8473,6518,19616,4061,14457,18641,6750,5485,4018,3257,2371,1545,2624,97819,2010
150553,Parauapebas (PA),13361,9595,27804,5976,24693,33327,10915,8528,6529,4853,3152,1959,3212,153908,2010
150555,Pau D'Arco (PA),446,340,1215,302,791,922,408,375,268,224,222,167,352,6033,2010
150560,Peixe-Boi (PA),513,430,1517,332,1002,1253,473,449,408,354,310,230,576,7854,2010
150563,Piçarra (PA),1022,818,2674,517,1591,2093,915,720,597,492,410,328,520,12697,2010
150565,Placas (PA),2152,1760,4940,986,3221,4416,1483,1184,1062,826,646,511,747,23934,2010
150570,Ponta de Pedras (PA),2219,1814,5392,1187,3726,4113,1578,1354,1123,957,734,524,1271,25999,2010
150580,Portel (PA),6340,4840,13444,2367,6858,7294,2675,1857,1530,1290,1114,830,1726,52172,2010
150590,Porto de Moz (PA),4048,2914,8468,1594,4946,4899,1859,1358,1018,753,600,429,1068,33956,2010
150600,Prainha (PA),2720,2269,7384,1415,3752,4299,1626,1380,1164,946,778,485,1129,29349,2010
150610,Primavera (PA),682,622,2112,496,1323,1565,604,565,457,378,346,318,796,10268,2010
150611,Quatipuru (PA),872,763,2745,576,1573,1945,738,618,608,478,397,316,780,12411,2010
150613,Redenção (PA),5400,4284,14562,3092,10265,13547,5574,4826,3897,3024,2197,1615,3267,75556,2010
150616,Rio Maria (PA),1175,976,3146,666,2357,3109,1281,1137,954,777,654,508,957,17697,2010
150618,Rondon do Pará (PA),3284,2754,8883,1992,6499,8476,3181,2902,2449,1853,1497,1082,2109,46964,2010
150619,Rurópolis (PA),3258,2733,8606,1751,5490,6837,2481,2163,1631,1502,1195,932,1503,40087,2010
150620,Salinópolis (PA),2679,2200,7570,1650,5372,6362,2449,2095,1645,1376,1201,885,1924,37421,2010
150630,Salvaterra (PA),1540,1200,4093,915,2797,3085,1347,1080,940,798,629,551,1205,20183,2010
150635,Santa Bárbara do Pará (PA),1295,967,3429,713,2363,2916,1187,1014,771,614,570,438,861,17141,2010
150640,Santa Cruz do Arari (PA),549,477,1604,360,1235,1445,535,432,403,290,229,183,411,8155,2010
150650,Santa Izabel do Pará (PA),3922,3168,10626,2500,8888,11581,4426,3656,2698,2139,1678,1353,2824,59466,2010
150655,Santa Luzia do Pará (PA),1500,1281,4221,954,2755,3000,1190,927,806,693,556,429,1112,19424,2010
150658,Santa Maria das Barreiras (PA),1285,1049,3354,654,1853,2735,1126,1163,973,859,798,521,836,17206,2010
150660,Santa Maria do Pará (PA),1481,1277,4243,1006,3078,3961,1668,1436,1142,935,788,562,1447,23026,2010
150670,Santana do Araguaia (PA),4009,3763,11359,2077,7962,10838,4280,3315,2505,2017,1354,1054,1617,56153,2010
150680,Santarém (PA),23081,18166,58608,13115,41345,48294,18863,15807,13894,11358,9306,6877,15840,294580,2010
150690,Santarém Novo (PA),479,407,1360,274,784,991,370,288,259,186,201,166,375,6141,2010
150700,Santo Antônio do Tauá (PA),2034,1561,5287,1223,3680,4456,1719,1382,1160,1055,870,697,1546,26674,2010
150710,São Caetano de Odivelas (PA),1231,1023,3377,797,2260,2655,1059,885,736,661,618,456,1128,16891,2010
150715,São Domingos do Araguaia (PA),1894,1475,4930,1036,2999,3689,1379,1167,991,790,770,630,1378,23130,2010
150720,São Domingos do Capim (PA),3060,2378,7082,1390,3873,4361,1650,1343,995,825,798,657,1430,29846,2010
150730,São Félix do Xingu (PA),6023,5369,17549,3293,13569,18768,7285,6054,4146,3305,2192,1634,2149,91340,2010
150740,São Francisco do Pará (PA),988,835,2874,629,2022,2559,914,822,757,619,592,408,1038,15060,2010
150745,São Geraldo do Araguaia (PA),1966,1544,5225,1126,3325,4280,1674,1461,1136,985,841,638,1383,25587,2010
150746,São João da Ponta (PA),426,371,1041,237,686,756,301,270,244,208,199,132,393,5265,2010
150747,São João de Pirabas (PA),1572,1370,4244,914,2851,3169,1220,960,879,738,719,563,1435,20647,2010
150750,São João do Araguaia (PA),1124,942,2796,611,1689,1952,696,707,658,515,454,351,659,13155,2010
150760,São Miguel do Guamá (PA),4197,3435,10681,2299,7189,8486,3254,2710,2167,1743,1457,1220,2722,51567,2010
150770,São Sebastião da Boa Vista (PA),2209,1711,5116,1112,3377,3517,1302,991,857,677,545,401,1084,22904,2010
150775,Sapucaia (PA),372,273,993,196,695,868,342,357,283,213,161,112,182,5047,2010
150780,Senador José Porfírio (PA),1286,978,2956,513,1607,2099,788,675,620,481,364,268,410,13045,2010
150790,Soure (PA),1739,1345,4541,1055,3041,3702,1464,1332,1041,956,753,598,1433,23001,2010
150795,Tailândia (PA),6676,5632,17188,3089,12448,16165,5136,3874,2742,1894,1476,1093,1880,79297,2010
150796,Terra Alta (PA),770,624,2174,473,1317,1572,631,586,452,355,339,282,685,10262,2010
150797,Terra Santa (PA),1303,1123,3774,789,2233,2780,1017,784,653,624,521,408,940,16949,2010
150800,Tomé-Açu (PA),5251,3885,11952,2529,7999,9327,3522,2917,2177,1778,1511,1133,2529,56518,2010
150803,Tracuateua (PA),2326,1857,5945,1292,3763,4232,1577,1320,1104,993,874,635,1536,27455,2010
150805,Trairão (PA),1466,1107,3313,648,2443,3200,1087,851,749,650,496,348,516,16875,2010
150808,Tucumã (PA),2670,1907,6231,1441,4837,6199,2335,2073,1704,1325,1006,700,1262,33690,2010
150810,Tucuruí (PA),7929,6230,19185,4227,14456,17619,6405,5284,4365,3647,2700,1751,3325,97128,2010
150812,Ulianópolis (PA),3718,2880,9098,1533,6746,8383,3300,2221,1497,1532,838,671,923,43341,2010
150815,Uruará (PA),3853,2899,8995,1884,6200,8331,2855,2409,1916,1601,1218,969,1653,44789,2010
150820,Vigia (PA),3409,2791,9043,2125,6763,8273,3123,2623,2116,1863,1640,1261,2849,47889,2010
150830,Viseu (PA),5682,4473,13338,2627,7546,8238,2975,2453,2099,1815,1585,1172,2711,56716,2010
150835,Vitória do Xingu (PA),942,809,2676,546,2080,2472,855,757,552,470,390,306,574,13431,2010
150840,Xinguara (PA),2984,2350,7665,1601,5555,7415,2913,2509,2097,1596,1283,903,1699,40573,2010
15,Pará,538275,421518,1298790,292959,994826,1306506,650689,604614,490203,419361,346819,235151,641181,8120131,2022
150010,Abaetetuba (PA),10459,8071,24556,5591,20296,27807,12928,11467,9435,7836,6170,4075,11912,158188,2022
150013,Abel Figueiredo (PA),425,373,1001,202,667,864,473,477,343,356,298,204,568,6136,2022
150020,Acará (PA),4278,3372,10659,2510,7275,9183,4384,3956,3172,2863,2317,1489,4523,59023,2022
150030,Afuá (PA),3512,2693,7775,1630,5170,5879,2453,2189,1797,1414,1148,771,2075,37765,2022
150034,Água Azul do Norte (PA),1387,1091,2973,599,2146,3000,1559,1473,1066,784,651,479,1165,18080,2022
150040,Alenquer (PA),5641,4567,13530,2933,8802,10780,4844,4443,3494,2829,2310,1612,4816,69377,2022
150050,Almeirim (PA),2941,2172,6605,1404,4260,5311,2401,2252,1834,1516,1234,861,2150,34280,2022
150060,Altamira (PA),8764,7264,20308,4270,15354,21390,10443,9635,7619,6354,5180,3289,8347,126279,2022
150070,Anajás (PA),2789,2135,6126,1286,4069,4326,1868,1522,1223,931,643,467,1243,28011,2022
150080,Ananindeua (PA),24300,19926,63056,14607,54617,78115,41560,41257,34246,30238,24230,16610,41315,478778,2022
150085,Anapu (PA),2646,2045,6102,1350,4019,5072,2472,2129,1664,1334,1154,703,1744,31850,2022
150090,Augusto Corrêa (PA),3097,2588,8748,1910,5559,6835,3261,2830,2296,1944,1664,1165,3323,44573,2022
150095,Aurora do Pará (PA),1752,1388,4373,998,2888,3635,1743,1517,1386,1105,958,575,1798,23774,2022
150100,Aveiro (PA),1657,1270,3472,760,2155,2681,1217,1077,875,777,766,522,1455,18290,2022
150110,Bagre (PA),3408,2784,7430,1656,4668,4888,1918,1459,1202,860,673,475,1143,31892,2022
150120,Baião (PA),3010,2767,7891,1863,7413,8697,4293,3859,2813,2775,1894,1381,3538,51641,2022
150125,Bannach (PA),287,224,650,148,484,602,316,310,257,215,174,141,294,4031,2022
150130,Barcarena (PA),8624,6768,20780,4616,15789,21774,10789,9636,7683,6154,4981,3227,7829,126650,2022
150140,Belém (PA),59493,48816,157726,36802,142995,197144,103417,107814,94224,87196,75408,53649,151755,1303403,2022
150145,Belterra (PA),1364,988,3170,710,2266,2414,1248,1253,1089,859,767,550,1744,18099,2022
150150,Benevides (PA),3839,3208,9603,2101,7485,10371,5325,5156,4133,3571,2819,1892,4929,63567,2022
150157,Bom Jesus do Tocantins (PA),1157,842,2567,564,2015,3028,1792,1449,994,814,879,856,1312,18005,2022
150160,Bonito (PA),815,575,1924,502,1546,2037,1080,966,732,669,556,342,1071,12622,2022
150170,Bragança (PA),8034,6147,20609,4730,14971,19572,9874,8900,7375,6122,4998,3410,10143,123082,2022
150172,Brasil Novo (PA),1561,1313,3982,947,2965,3866,1944,1887,1505,1310,1138,769,1870,24718,2022
150175,Brejo Grande do Araguaia (PA),498,364,1150,264,737,919,512,493,425,347,308,224,663,6783,2022
150178,Breu Branco (PA),3406,2687,8238,1814,5675,6769,3424,3119,2438,2272,1819,1225,3583,45712,2022
150180,Breves (PA),10633,7569,21935,4677,15545,16362,6886,6250,4585,3900,2863,2164,6052,106968,2022
150190,Bujaru (PA),1775,1420,4358,1018,3086,3693,1731,1628,1370,1191,961,609,1930,24383,2022
150195,Cachoeira do Piriá (PA),1565,1143,3745,870,2630,2971,1538,1312,962,891,743,507,1129,19630,2022
150200,Cachoeira do Arari (PA),1627,1412,4158,861,2974,4116,1813,1588,1280,1114,910,685,1786,23981,2022
150210,Cametá (PA),9738,7249,23740,5452,18356,22503,10184,8729,7124,5792,4427,3040,10159,134184,2022
150215,Canaã dos Carajás (PA),6076,4717,12847,2648,9728,15481,7819,6115,4087,2907,2128,1225,2691,77079,2022
150220,Capanema (PA),3894,3153,10104,2314,8261,11433,5904,5492,4646,3902,3375,2182,6614,70394,2022
150230,Capitão Poço (PA),3672,2713,8916,2049,7025,9593,4493,4058,3369,2949,2506,1536,4383,56506,2022
150240,Castanhal (PA),11347,8820,27803,6302,23458,32219,16434,15397,12507,10855,8671,5725,15291,192256,2022
150250,Chaves (PA),1960,1477,4408,938,2735,3124,1381,1199,979,778,629,431,1168,20757,2022
150260,Colares (PA),747,737,2100,475,1374,1920,955,889,729,733,616,411,1356,12868,2022
150270,Conceição do Araguaia (PA),2757,2141,6672,1526,4962,6251,3112,3203,3015,2666,2387,1593,4977,44617,2022
150275,Concórdia do Pará (PA),1977,1604,4829,1145,3440,4290,2133,1786,1459,1221,967,582,1939,26881,2022
150276,Cumaru do Norte (PA),1226,890,2505,454,1802,2359,1088,972,782,684,580,309,640,14036,2022
150277,Curionópolis (PA),1543,1082,3495,726,2387,3141,1478,1284,1081,835,845,650,1769,19950,2022
150280,Curralinho (PA),2986,2384,7026,1553,5030,5481,2299,1957,1491,1180,845,554,1746,33903,2022
150285,Curuá (PA),1130,823,2657,648,1787,2156,1059,981,684,572,558,338,962,14117,2022
150290,Curuçá (PA),2250,1875,6410,1458,4890,6194,3300,3014,2594,2326,1830,1346,4254,41262,2022
150293,Dom Eliseu (PA),3839,3334,10216,2343,8073,9106,5144,4819,3079,2534,1986,1431,3470,58484,2022
150295,Eldorado do Carajás (PA),2158,1562,5125,1166,3332,4018,2146,1919,1520,1444,1276,846,2195,28192,2022
150300,Faro (PA),711,515,1557,414,1168,1329,622,549,463,391,315,217,647,8728,2022
150304,Floresta do Araguaia (PA),1218,961,2858,662,2095,2865,1350,1365,1107,955,831,490,1405,17898,2022
150307,Garrafão do Norte (PA),1718,1282,4221,1077,3164,4008,1838,1684,1430,1229,992,604,1837,24703,2022
150309,Goianésia do Pará (PA),1904,1400,4532,1026,3043,3813,2126,2090,1662,1382,1135,719,1944,26362,2022
150310,Gurupá (PA),2859,2184,6449,1429,4708,5029,2109,1786,1470,1127,884,626,1749,31786,2022
150320,Igarapé-Açu (PA),2099,1668,5426,1169,4182,5718,2788,2611,2224,2008,1666,1199,3528,35797,2022
150330,Igarapé-Miri (PA),4251,3515,11607,2621,7978,11005,5028,4584,3674,2951,2349,1564,4651,64831,2022
150340,Inhangapi (PA),720,544,1704,347,1237,1672,789,680,607,499,441,324,920,10325,2022
150345,Ipixuna do Pará (PA),2502,1918,5807,1290,3731,4596,2222,1955,1611,1362,1100,738,2057,30329,2022
150350,Irituia (PA),2002,1479,5250,1209,3524,4629,2259,2182,1926,1590,1410,861,3090,30955,2022
150360,Itaituba (PA),9321,7114,19747,4303,16171,21658,9865,8500,6672,5811,5019,3331,8005,123314,2022
150370,Itupiranga (PA),3430,2709,8873,2010,6246,7374,4123,3660,2904,2406,1883,1312,3648,49754,2022
150375,Jacareacanga (PA),2825,2158,5300,1070,3355,3433,1475,1227,1022,828,686,378,948,24042,2022
150380,Jacundá (PA),2452,1983,6306,1514,4144,5374,3008,2989,2375,1976,1664,1135,3342,37707,2022
150390,Juruti (PA),4457,3352,10308,2267,6629,7724,3811,3224,2497,1914,1556,1043,3104,50881,2022
150400,Limoeiro do Ajuru (PA),2457,1738,5235,1245,4431,5129,2092,1952,1437,1246,931,564,1635,29569,2022
150405,Mãe do Rio (PA),2106,1793,5506,1342,4412,5684,2636,2504,2105,1722,1321,844,2774,34353,2022
150410,Magalhães Barata (PA),487,348,1379,293,831,1129,600,588,509,434,388,304,945,8115,2022
150420,Marabá (PA),18242,14279,43571,9831,33779,45106,23265,20124,15586,12613,10511,7043,16667,266533,2022
150430,Maracanã (PA),1548,1147,4178,1014,2949,3820,1905,1814,1582,1355,1261,832,2921,25971,2022
150440,Marapanim (PA),1455,1261,3933,857,2731,3981,1974,2047,1764,1537,1267,983,3100,26573,2022
150442,Marituba (PA),6640,5263,16612,3762,13673,19191,9709,9181,7537,6450,4857,3008,7413,111785,2022
150445,Medicilândia (PA),2072,1491,4599,1019,3186,4152,2074,2048,1629,1370,1225,753,1976,27094,2022
150450,Melgaço (PA),3064,2279,6747,1439,4209,3987,1636,1325,1032,786,552,391,1061,27881,2022
150460,Mocajuba (PA),1885,1438,4677,1175,3868,4483,1958,1771,1433,1255,964,610,2137,27198,2022
150470,Moju (PA),6349,5013,15117,3368,11032,14291,6427,5690,4673,3823,2952,1836,4935,84094,2022
150475,Mojuí dos Campos (PA),1696,1225,3805,884,2724,3479,1740,1642,1429,1253,1174,772,2071,23501,2022
150480,Monte Alegre (PA),4184,3231,9937,2382,7166,8962,4320,4245,3680,3044,2567,1786,5493,60012,2022
150490,Muaná (PA),3405,2722,8124,1870,6259,7449,3489,3162,2310,1942,1430,1070,2867,45368,2022
150495,Nova Esperança do Piriá (PA),1679,1257,3954,883,2561,3334,1544,1429,1101,956,652,414,1136,20478,2022
150497,Nova Ipixuna (PA),972,771,2226,527,1541,1934,1093,1027,895,751,670,482,1289,13955,2022
150500,Nova Timboteua (PA),628,549,1716,434,1300,1847,1030,988,910,784,694,479,1602,12806,2022
150503,Novo Progresso (PA),2623,1988,5376,1177,4083,5832,2846,2453,1966,1719,1465,933,1765,33638,2022
150506,Novo Repartimento (PA),4688,3516,11136,2451,7580,9496,4622,4244,3304,2718,2437,1599,4097,60732,2022
150510,Óbidos (PA),4124,2959,9575,2153,6299,7397,3645,3657,3022,2458,2066,1408,4402,52229,2022
150520,Oeiras do Pará (PA),2962,2163,7012,1497,4776,5315,2279,2056,1637,1299,995,633,1897,33844,2022
150530,Oriximiná (PA),5922,4177,12812,2994,8715,9737,4975,4664,3721,2959,2466,1631,4866,68294,2022
150540,Ourém (PA),1075,857,2918,653,2093,2768,1409,1300,1095,978,775,531,1643,17855,2022
150543,Ourilândia do Norte (PA),2506,1940,5751,1202,3680,5357,2770,2322,1856,1609,1263,806,1951,32467,2022
150548,Pacajá (PA),3297,2486,7435,1605,4987,6474,3267,2914,2235,1930,1556,1037,2666,41097,2022
150549,Palestina do Pará (PA),479,359,1152,291,758,987,495,470,427,369,308,213,690,6885,2022
150550,Paragominas (PA),7415,5601,17459,4094,13649,18071,9182,8130,6128,5033,3894,2487,6083,105550,2022
150553,Parauapebas (PA),20343,15065,44698,9571,33518,50813,27330,22357,14737,11032,8239,4739,10108,267836,2022
150555,Pau D'Arco (PA),503,342,1185,225,701,964,539,480,433,401,350,248,682,6931,2022
150560,Peixe-Boi (PA),404,346,1195,286,862,1107,685,698,549,436,474,347,979,8285,2022
150563,Piçarra (PA),1003,690,2170,474,1475,1903,977,945,831,744,521,355,975,12832,2022
150565,Placas (PA),1434,1026,3161,743,2216,2901,1492,1314,1030,929,896,583,1275,18668,2022
150570,Ponta de Pedras (PA),1705,1311,4291,1040,3174,3988,1969,1737,1407,1248,981,653,1861,24984,2022
150580,Portel (PA),6148,4475,13449,2951,9548,9543,4037,3446,2810,1953,1484,1063,3012,62503,2022
150590,Porto de Moz (PA),3445,2773,7976,1839,5993,6747,3015,2628,1926,1524,1054,652,1747,40597,2022
150600,Prainha (PA),2985,2274,6808,1488,4839,5716,2511,2225,1886,1404,1262,816,2070,35577,2022
150610,Primavera (PA),691,522,1666,376,1165,1597,845,837,684,573,519,347,1203,10851,2022
150611,Quatipuru (PA),704,572,1767,413,1304,1520,885,864,755,668,585,435,1194,11524,2022
150613,Redenção (PA),5939,4609,13052,2812,10373,14420,7101,6523,5329,4519,3812,2324,6126,85597,2022
150616,Rio Maria (PA),1129,890,2688,630,2112,2821,1378,1393,1232,1106,940,580,1744,18384,2022
150618,Rondon do Pará (PA),2629,2063,7007,1901,6726,8983,5209,4445,2852,2760,3021,2431,3719,53143,2022
150619,Rurópolis (PA),2420,2368,6615,1316,4545,5466,2540,2490,1762,1696,1271,1028,2786,35769,2022
150620,Salinópolis (PA),2806,2110,6731,1555,5506,7324,3740,3488,2824,2435,1896,1287,3728,44772,2022
150630,Salvaterra (PA),1607,1276,3845,864,2823,4052,1824,1631,1512,1316,1009,712,2022,24129,2022
