Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total,RI,Ano
150390,Juruti (PA),6241,2538,69,41921,112,50881,Baixo Amazonas,2022
150400,Limoeiro do Ajuru (PA),5112,1146,2,23296,13,29569,Tocantins,2022
150405,Mãe do Rio (PA),6601,2909,50,24779,13,34353,Rio Capim,2022
150410,Magalhães Barata (PA),1314,379,-,6421,1,8115,Guamá,2022
150420,Marabá (PA),48548,26407,266,190750,552,266533,Carajás,2022
150430,Maracanã (PA),4279,1361,5,20309,16,25971,Guamá,2022
150440,Marapanim (PA),4166,1385,2,21013,7,26573,Guamá,2022
150442,Marituba (PA),22505,11256,117,77809,94,111785,Guajará,2022
150445,Medicilândia (PA),5461,2625,70,18920,18,27094,Xingu,2022
150450,Melgaço (PA),3830,3075,14,20950,11,27881,Marajó,2022
150460,Mocajuba (PA),5067,3168,6,18910,47,27198,Tocantins,2022
150470,Moju (PA),11124,11077,74,61588,230,84094,Tocantins,2022
150475,Mojuí dos Campos (PA),3500,1301,26,18630,44,23501,Baixo Amazonas,2022
150480,Monte Alegre (PA),10163,3569,101,46122,57,60012,Baixo Amazonas,2022
150490,Muaná (PA),6048,2149,4,37166,1,45368,Marajó,2022
150495,Nova Esperança do Piriá (PA),3195,1417,24,15810,32,20478,Rio Capim,2022
150497,Nova Ipixuna (PA),2057,2235,10,9641,8,13955,Lago Tucuruí,2022
150500,Nova Timboteua (PA),2135,850,13,9804,3,12806,Rio Caeté,2022
150503,Novo Progresso (PA),9787,2721,65,20994,71,33638,Tapajós,2022
150506,Novo Repartimento (PA),10802,6568,134,42108,1119,60732,Lago Tucuruí,2022
150510,Óbidos (PA),7840,6399,15,37106,868,52229,Baixo Amazonas,2022
150520,Oeiras do Pará (PA),2839,3985,9,26996,15,33844,Tocantins,2022
150530,Oriximiná (PA),9451,9028,38,45975,3802,68294,Baixo Amazonas,2022
150540,Ourém (PA),2407,2015,16,13378,39,17855,Rio Capim,2022
150543,Ourilândia do Norte (PA),7164,3135,13,20686,1468,32467,Araguaia,2022
150548,Pacajá (PA),6988,4249,16,29811,33,41097,Xingu,2022
150549,Palestina do Pará (PA),1252,875,5,4748,5,6885,Carajás,2022
150550,Paragominas (PA),21410,10702,167,71824,1328,105550,Rio Capim,2022
150553,Parauapebas (PA),56707,26734,351,182069,1965,267836,Carajás,2022
150555,Pau D'Arco (PA),1245,608,6,4612,460,6931,Araguaia,2022
150560,Peixe-Boi (PA),1596,459,10,6217,3,8285,Rio Caeté,2022
150563,Piçarra (PA),2148,1680,25,8964,5,12832,Carajás,2022
150565,Placas (PA),4260,2321,43,12023,21,18668,Xingu,2022
150570,Ponta de Pedras (PA),4073,2179,11,18699,22,24984,Marajó,2022
150580,Portel (PA),8481,4200,14,49781,26,62503,Marajó,2022
150590,Porto de Moz (PA),4650,2239,11,33604,93,40597,Xingu,2022
150600,Prainha (PA),3653,2975,26,28900,23,35577,Baixo Amazonas,2022
150610,Primavera (PA),1631,529,8,8679,3,10851,Rio Caeté,2022
150611,Quatipuru (PA),2228,627,4,8653,12,11524,Rio Caeté,2022
150613,Redenção (PA),21094,10490,104,53606,299,85597,Araguaia,2022
150616,Rio Maria (PA),4363,2080,76,11829,36,18384,Araguaia,2022
150618,Rondon do Pará (PA),11241,4035,12,37745,108,53143,Rio Capim,2022
150619,Rurópolis (PA),7287,3601,40,24772,69,35769,Tapajós,2022
150620,Salinópolis (PA),7388,2191,36,35086,71,44772,Rio Caeté,2022
150630,Salvaterra (PA),2598,5136,10,16364,21,24129,Marajó,2022
150635,Santa Bárbara do Pará (PA),3409,2076,17,15561,24,21087,Guajará,2022
150640,Santa Cruz do Arari (PA),977,1945,10,4509,4,7445,Marajó,2022
150650,Santa Izabel do Pará (PA),11585,7236,279,53832,86,73019,Guamá,2022
150655,Santa Luzia do Pará (PA),3369,1547,24,14694,736,20370,Rio Caeté,2022
150658,Santa Maria das Barreiras (PA),3582,1694,26,11146,100,16548,Araguaia,2022
