Codigo,Municipio,RI,Ano_merge,Ano,Rural_Cadunico,Urbano_Cadunico,Rural_IBGE,Urbano_IBGE
150215,CANAÃ DOS CARAJÁS,Carajás,2022,2022.0,7754.0,25377.0,7747.0,69332.0
150220,CAPANEMA,Rio Caeté,2010,2013.0,10495.0,29767.0,12907.0,50732.0
150220,CAPANEMA,Rio Caeté,2022,2022.0,10402.0,30159.0,10690.0,59704.0
150230,CAPITÃO POÇO,Rio Capim,2010,2013.0,21644.0,16611.0,30452.0,21441.0
150230,CAPITÃO POÇO,Rio Capim,2022,2022.0,20901.0,20394.0,25301.0,31205.0
150240,CASTANHAL,Guamá,2010,2013.0,13085.0,89401.0,19771.0,153378.0
150240,CASTANHAL,Guamá,2022,2022.0,13950.0,95681.0,14389.0,177867.0
150250,CHAVES,Marajó,2010,2013.0,11711.0,4112.0,18495.0,2510.0
150250,CHAVES,Marajó,2022,2022.0,14222.0,3202.0,16071.0,4686.0
150260,COLARES,Guamá,2010,2013.0,891.0,6944.0,7720.0,3661.0
150260,COLARES,Guamá,2022,2022.0,4018.0,5542.0,7775.0,5093.0
150270,CONCEIÇÃO DO ARAGUAIA,Araguaia,2010,2013.0,9379.0,19782.0,13093.0,32464.0
150270,CONCEIÇÃO DO ARAGUAIA,Araguaia,2022,2022.0,9685.0,18800.0,11460.0,33157.0
150275,CONCÓRDIA DO PARÁ,Rio Capim,2010,2013.0,10462.0,10571.0,13128.0,15088.0
150275,CONCÓRDIA DO PARÁ,Rio Capim,2022,2022.0,11712.0,12445.0,10389.0,16492.0
150276,CUMARU DO NORTE,Araguaia,2010,2013.0,3450.0,2880.0,7755.0,2711.0
150276,CUMARU DO NORTE,Araguaia,2022,2022.0,3426.0,3637.0,9035.0,5001.0
150277,CURIONÓPOLIS,Carajás,2010,2013.0,2909.0,13073.0,5758.0,12530.0
150277,CURIONÓPOLIS,Carajás,2022,2022.0,4087.0,11062.0,2045.0,17905.0
150280,CURRALINHO,Marajó,2010,2013.0,16361.0,8940.0,17619.0,10930.0
150280,CURRALINHO,Marajó,2022,2022.0,19668.0,9742.0,20388.0,13515.0
150285,CURUÁ,Baixo Amazonas,2010,2013.0,5483.0,5152.0,6473.0,5781.0
150285,CURUÁ,Baixo Amazonas,2022,2022.0,6088.0,6597.0,6759.0,7358.0
150290,CURUÇÁ,Guamá,2010,2013.0,17806.0,9175.0,22120.0,12174.0
150290,CURUÇÁ,Guamá,2022,2022.0,21317.0,10643.0,16546.0,24716.0
