Codigo,Municipio_x,0-3_cadunico,4-6_cadunico,7-15_cadunico,16-17_cadunico,18-24_cadunico,25-34_cadunico,35-39_cadunico,40-44_cadunico,45-49_cadunico,50-54_cadunico,55-59_cadunico,60-64_cadunico,64+_cadunico,Total_cadunico,Ano,RI,Municipio_y,0-3_geral,4-6_geral,7-15_geral,16-17_geral,18-24_geral,25-34_geral,35-39_geral,40-44_geral,45-49_geral,50-54_geral,55-59_geral,60-64_geral,64+_geral,Total_geral
150060,ALTAMIRA,,,12832.0,2928.0,7379.0,7265.0,3254.0,2664.0,2162.0,1660.0,1229.0,916.0,1354.0,43643.0,2010,Xingu,Altamira (PA),7468.0,5801.0,19191.0,4211.0,13609.0,17780.0,6923.0,5785.0,4869.0,3963.0,2937.0,2169.0,4359.0,99075.0
150060,ALTAMIRA,4619.0,5192.0,14560.0,2931.0,8658.0,9966.0,4628.0,4339.0,3353.0,2752.0,2418.0,2215.0,5552.0,71183.0,2022,Xingu,Altamira (PA),8764.0,7264.0,20308.0,4270.0,15354.0,21390.0,10443.0,9635.0,7619.0,6354.0,5180.0,3289.0,8347.0,126279.0
150070,ANAJÁS,,,6529.0,1263.0,2991.0,3094.0,1193.0,903.0,658.0,544.0,407.0,318.0,572.0,18472.0,2010,Marajó,Anajás (PA),2910.0,2228.0,6231.0,1181.0,3402.0,3525.0,1289.0,929.0,731.0,597.0,511.0,361.0,861.0,24759.0
150070,ANAJÁS,2738.0,2468.0,6898.0,1468.0,4802.0,4537.0,1754.0,1472.0,1164.0,847.0,614.0,452.0,1129.0,30343.0,2022,Marajó,Anajás (PA),2789.0,2135.0,6126.0,1286.0,4069.0,4326.0,1868.0,1522.0,1223.0,931.0,643.0,467.0,1243.0,28011.0
150080,ANANINDEUA,,,42181.0,9542.0,24009.0,21705.0,11038.0,9417.0,6761.0,4304.0,2909.0,2949.0,7182.0,141997.0,2010,Guajará,Ananindeua (PA),29688.0,23101.0,79361.0,18168.0,64991.0,91431.0,37846.0,32427.0,26238.0,21909.0,16281.0,11378.0,19111.0,471980.0
150080,ANANINDEUA,10717.0,13975.0,40980.0,9502.0,28910.0,33769.0,16752.0,16777.0,14686.0,13156.0,11056.0,9999.0,21666.0,241945.0,2022,Guajará,Ananindeua (PA),24300.0,19926.0,63056.0,14607.0,54617.0,78115.0,41560.0,41257.0,34246.0,30238.0,24230.0,16610.0,41315.0,478778.0
150085,ANAPU,,,4760.0,931.0,2531.0,2776.0,1055.0,755.0,666.0,522.0,440.0,276.0,372.0,15084.0,2010,Xingu,Anapu (PA),1957.0,1465.0,4423.0,965.0,2812.0,3352.0,1224.0,1059.0,862.0,751.0,612.0,399.0,662.0,20543.0
150085,ANAPU,1937.0,1874.0,5661.0,1269.0,3697.0,4078.0,1889.0,1629.0,1221.0,946.0,819.0,636.0,1302.0,26958.0,2022,Xingu,Anapu (PA),2646.0,2045.0,6102.0,1350.0,4019.0,5072.0,2472.0,2129.0,1664.0,1334.0,1154.0,703.0,1744.0,31850.0
150090,AUGUSTO CORRÊA,,,9703.0,1983.0,5324.0,5863.0,2056.0,1661.0,1450.0,1163.0,980.0,747.0,1225.0,32155.0,2010,Rio Caeté,Augusto Corrêa (PA),3913.0,2996.0,9428.0,1952.0,5461.0,5967.0,2176.0,1808.0,1481.0,1290.0,1136.0,909.0,1974.0,40497.0
150090,AUGUSTO CORRÊA,2578.0,2539.0,8387.0,1920.0,5584.0,6442.0,2838.0,2493.0,1955.0,1727.0,1405.0,838.0,1245.0,39951.0,2022,Rio Caeté,Augusto Corrêa (PA),3097.0,2588.0,8748.0,1910.0,5559.0,6835.0,3261.0,2830.0,2296.0,1944.0,1664.0,1165.0,3323.0,44573.0
150095,AURORA DO PARÁ,,,4622.0,1015.0,2611.0,2451.0,1019.0,830.0,700.0,501.0,445.0,321.0,566.0,15081.0,2010,Rio Capim,Aurora do Pará (PA),2115.0,1723.0,5942.0,1152.0,3833.0,4351.0,1608.0,1354.0,1038.0,879.0,731.0,606.0,1213.0,26546.0
150095,AURORA DO PARÁ,1430.0,1220.0,3944.0,923.0,2694.0,2918.0,1242.0,1160.0,995.0,827.0,742.0,469.0,961.0,19525.0,2022,Rio Capim,Aurora do Pará (PA),1752.0,1388.0,4373.0,998.0,2888.0,3635.0,1743.0,1517.0,1386.0,1105.0,958.0,575.0,1798.0,23774.0
150100,AVEIRO,,,3364.0,822.0,2103.0,1677.0,658.0,518.0,503.0,436.0,378.0,257.0,414.0,11130.0,2010,Tapajós,Aveiro (PA),1490.0,1254.0,3980.0,757.0,1827.0,2093.0,820.0,750.0,633.0,571.0,506.0,346.0,821.0,15849.0
150100,AVEIRO,857.0,768.0,2279.0,538.0,1653.0,1735.0,647.0,614.0,485.0,419.0,363.0,308.0,566.0,11232.0,2022,Tapajós,Aveiro (PA),1657.0,1270.0,3472.0,760.0,2155.0,2681.0,1217.0,1077.0,875.0,777.0,766.0,522.0,1455.0,18290.0
150110,BAGRE,,,4448.0,886.0,2412.0,1973.0,720.0,611.0,426.0,306.0,259.0,184.0,295.0,12520.0,2010,Marajó,Bagre (PA),2651.0,2038.0,6203.0,1169.0,3299.0,3606.0,1260.0,899.0,642.0,545.0,430.0,385.0,733.0,23864.0
150110,BAGRE,1739.0,1703.0,4946.0,1117.0,3146.0,2921.0,980.0,833.0,644.0,462.0,333.0,226.0,447.0,19497.0,2022,Marajó,Bagre (PA),3408.0,2784.0,7430.0,1656.0,4668.0,4888.0,1918.0,1459.0,1202.0,860.0,673.0,475.0,1143.0,31892.0
150120,BAIÃO,,,6080.0,1367.0,3622.0,3480.0,1406.0,1085.0,891.0,601.0,499.0,314.0,275.0,19620.0,2010,Tocantins,Baião (PA),2959.0,2608.0,8237.0,1627.0,5337.0,6162.0,2131.0,1820.0,1442.0,1188.0,1011.0,741.0,1617.0,36882.0
150120,BAIÃO,1986.0,1846.0,5398.0,1329.0,4120.0,4473.0,1794.0,1456.0,1299.0,978.0,777.0,417.0,719.0,26592.0,2022,Tocantins,Baião (PA),3010.0,2767.0,7891.0,1863.0,7413.0,8697.0,4293.0,3859.0,2813.0,2775.0,1894.0,1381.0,3538.0,51641.0
150125,BANNACH,,,572.0,142.0,351.0,403.0,183.0,155.0,110.0,90.0,69.0,62.0,113.0,2250.0,2010,Araguaia,Bannach (PA),268.0,207.0,649.0,122.0,386.0,586.0,271.0,206.0,178.0,162.0,137.0,98.0,161.0,3431.0
150125,BANNACH,136.0,151.0,441.0,87.0,341.0,363.0,177.0,175.0,140.0,104.0,104.0,103.0,218.0,2540.0,2022,Araguaia,Bannach (PA),287.0,224.0,650.0,148.0,484.0,602.0,316.0,310.0,257.0,215.0,174.0,141.0,294.0,4031.0
150130,BARCARENA,,,16300.0,3601.0,8752.0,9706.0,3972.0,2994.0,2307.0,1771.0,1305.0,952.0,1361.0,53021.0,2010,Tocantins,Barcarena (PA),8152.0,6084.0,19888.0,4368.0,14553.0,18090.0,6933.0,5657.0,4530.0,3663.0,2590.0,1850.0,3482.0,99859.0
150130,BARCARENA,4822.0,5061.0,15355.0,3501.0,9878.0,11367.0,5243.0,4567.0,3769.0,3176.0,2652.0,2250.0,4631.0,76272.0,2022,Tocantins,Barcarena (PA),8624.0,6768.0,20780.0,4616.0,15789.0,21774.0,10789.0,9636.0,7683.0,6154.0,4981.0,3227.0,7829.0,126650.0
150140,BELÉM,,,105335.0,23587.0,68707.0,65081.0,30666.0,26571.0,19300.0,12748.0,8404.0,6438.0,11484.0,378321.0,2010,Guajará,Belém (PA),79414.0,60633.0,209965.0,50496.0,185714.0,261798.0,110016.0,97223.0,82625.0,70878.0,54708.0,42185.0,87543.0,1393399.0
150140,BELÉM,33985.0,35561.0,114251.0,25795.0,84537.0,97517.0,48200.0,51178.0,46545.0,41846.0,36393.0,32038.0,71455.0,719301.0,2022,Guajará,Belém (PA),59493.0,48816.0,157726.0,36802.0,142995.0,197144.0,103417.0,107814.0,94224.0,87196.0,75408.0,53649.0,151755.0,1303403.0
150145,BELTERRA,,,3833.0,802.0,2019.0,2201.0,943.0,781.0,695.0,570.0,475.0,379.0,614.0,13312.0,2010,Baixo Amazonas,Belterra (PA),1336.0,1172.0,3549.0,679.0,1843.0,2452.0,940.0,823.0,764.0,638.0,617.0,439.0,1065.0,16318.0
150145,BELTERRA,954.0,887.0,2998.0,680.0,1863.0,1899.0,935.0,926.0,769.0,626.0,562.0,523.0,983.0,14605.0,2022,Baixo Amazonas,Belterra (PA),1364.0,988.0,3170.0,710.0,2266.0,2414.0,1248.0,1253.0,1089.0,859.0,767.0,550.0,1744.0,18099.0
150150,BENEVIDES,,,8072.0,1760.0,4457.0,4959.0,2120.0,1598.0,1148.0,864.0,679.0,501.0,782.0,26940.0,2010,Guajará,Benevides (PA),3639.0,2920.0,9833.0,2171.0,7137.0,9607.0,3828.0,3130.0,2412.0,2066.0,1513.0,1092.0,2294.0,51651.0
150150,BENEVIDES,2980.0,3050.0,9229.0,2067.0,6086.0,7075.0,3317.0,3283.0,2639.0,2296.0,1859.0,1657.0,3433.0,48971.0,2022,Guajará,Benevides (PA),3839.0,3208.0,9603.0,2101.0,7485.0,10371.0,5325.0,5156.0,4133.0,3571.0,2819.0,1892.0,4929.0,63567.0
150157,BOM JESUS DO TOCANTINS,,,2222.0,522.0,1222.0,1281.0,527.0,449.0,359.0,268.0,236.0,191.0,342.0,7619.0,2010,Carajás,Bom Jesus do Tocantins (PA),1153.0,907.0,2988.0,632.0,2091.0,2532.0,971.0,859.0,768.0,594.0,559.0,451.0,791.0,15298.0
150157,BOM JESUS DO TOCANTINS,784.0,780.0,2172.0,458.0,1472.0,1460.0,638.0,602.0,552.0,439.0,434.0,368.0,833.0,10992.0,2022,Carajás,Bom Jesus do Tocantins (PA),1157.0,842.0,2567.0,564.0,2015.0,3028.0,1792.0,1449.0,994.0,814.0,879.0,856.0,1312.0,18005.0
150160,BONITO,,,2228.0,484.0,1411.0,1595.0,626.0,481.0,409.0,325.0,280.0,173.0,219.0,8231.0,2010,Rio Caeté,Bonito (PA),1201.0,875.0,2628.0,563.0,1972.0,2500.0,873.0,716.0,541.0,476.0,386.0,278.0,620.0,13630.0
150160,BONITO,696.0,560.0,1899.0,483.0,1542.0,1637.0,809.0,775.0,639.0,543.0,455.0,276.0,360.0,10674.0,2022,Rio Caeté,Bonito (PA),815.0,575.0,1924.0,502.0,1546.0,2037.0,1080.0,966.0,732.0,669.0,556.0,342.0,1071.0,12622.0
150170,BRAGANÇA,,,20764.0,4502.0,11981.0,12503.0,5001.0,4208.0,3145.0,2448.0,1906.0,1383.0,2333.0,70174.0,2010,Rio Caeté,Bragança (PA),9259.0,7181.0,22810.0,5025.0,16440.0,18381.0,7186.0,5843.0,4792.0,4121.0,3374.0,2698.0,6109.0,113227.0
150170,BRAGANÇA,5837.0,5429.0,17704.0,4155.0,11874.0,13814.0,6618.0,6078.0,4958.0,4123.0,3334.0,2281.0,4101.0,90306.0,2022,Rio Caeté,Bragança (PA),8034.0,6147.0,20609.0,4730.0,14971.0,19572.0,9874.0,8900.0,7375.0,6122.0,4998.0,3410.0,10143.0,123082.0
