Codigo,Municipio_cad,Branca_cadunico,Preta_cadunico,Amarela_cadunico,Parda_cadunico,Indigena_cadunico,NoData_cadunico,RI_cad,Municipio_ibge,Branca_geral,Preta_geral,Amarela_geral,Parda_geral,Indigena_geral,Total_geral,RI_ibge,Ano
150110,BAGRE,686.0,380.0,2.0,13956.0,2.0,35.0,Marajó,Bagre (PA),4383.0,2309.0,173,16998.0,1,23864.0,Marajó,2010.0
150110,BAGRE,989.0,572.0,92.0,17839.0,5.0,0.0,Marajó,Bagre (PA),3185.0,2974.0,6,25726.0,1,31892.0,Marajó,2022.0
150120,BAIÃO,2016.0,1978.0,26.0,19056.0,11.0,142.0,Tocantins,Baião (PA),6061.0,6792.0,119,23869.0,41,36882.0,Tocantins,2010.0
150120,BAIÃO,2182.0,2292.0,51.0,22045.0,16.0,6.0,Tocantins,Baião (PA),5955.0,11813.0,12,33810.0,51,51641.0,Tocantins,2022.0
150125,BANNACH,380.0,176.0,14.0,1806.0,86.0,17.0,Araguaia,Bannach (PA),961.0,299.0,35,2032.0,104,3431.0,Araguaia,2010.0
150125,BANNACH,470.0,272.0,7.0,1648.0,142.0,1.0,Araguaia,Bannach (PA),726.0,414.0,8,2667.0,216,4031.0,Araguaia,2022.0
150130,BARCARENA,3000.0,1024.0,182.0,57474.0,37.0,1466.0,Tocantins,Barcarena (PA),19350.0,5720.0,735,73892.0,162,99859.0,Tocantins,2010.0
150130,BARCARENA,5844.0,1905.0,356.0,68078.0,80.0,9.0,Tocantins,Barcarena (PA),22494.0,10492.0,234,93144.0,284,126650.0,Tocantins,2022.0
150140,BELÉM,42955.0,18333.0,887.0,359995.0,556.0,3882.0,Guajará,Belém (PA),379990.0,105441.0,11218,894388.0,2271,1393399.0,Guajará,2010.0
150140,BELÉM,84299.0,34992.0,3762.0,594979.0,1143.0,126.0,Guajará,Belém (PA),342476.0,149395.0,3298,806103.0,2069,1303403.0,Guajará,2022.0
150145,BELTERRA,820.0,230.0,25.0,14001.0,223.0,99.0,Baixo Amazonas,Belterra (PA),2123.0,556.0,164,13133.0,342,16318.0,Baixo Amazonas,2010.0
150145,BELTERRA,669.0,276.0,51.0,13270.0,335.0,4.0,Baixo Amazonas,Belterra (PA),2394.0,937.0,52,14012.0,704,18099.0,Baixo Amazonas,2022.0
150150,BENEVIDES,2128.0,636.0,102.0,27167.0,28.0,702.0,Guajará,Benevides (PA),10554.0,4260.0,484,36222.0,131,51651.0,Guajará,2010.0
150150,BENEVIDES,3606.0,1206.0,179.0,43937.0,31.0,12.0,Guajará,Benevides (PA),12040.0,6258.0,119,45082.0,68,63567.0,Guajará,2022.0
150157,BOM JESUS DO TOCANTINS,290.0,272.0,13.0,7972.0,425.0,56.0,Carajás,Bom Jesus do Tocantins (PA),3158.0,1281.0,114,9976.0,769,15298.0,Carajás,2010.0
150157,BOM JESUS DO TOCANTINS,516.0,421.0,27.0,9524.0,502.0,2.0,Carajás,Bom Jesus do Tocantins (PA),3963.0,1314.0,18,11633.0,1077,18005.0,Carajás,2022.0
150160,BONITO,1089.0,650.0,11.0,7663.0,8.0,59.0,Rio Caeté,Bonito (PA),2515.0,770.0,136,10206.0,3,13630.0,Rio Caeté,2010.0
150160,BONITO,1146.0,482.0,33.0,9007.0,6.0,0.0,Rio Caeté,Bonito (PA),2075.0,680.0,9,9856.0,2,12622.0,Rio Caeté,2022.0
150170,BRAGANÇA,1921.0,901.0,58.0,77096.0,43.0,1118.0,Rio Caeté,Bragança (PA),15588.0,5501.0,626,91470.0,42,113227.0,Rio Caeté,2010.0
150170,BRAGANÇA,1806.0,687.0,119.0,87641.0,39.0,14.0,Rio Caeté,Bragança (PA),16431.0,5413.0,57,101085.0,94,123082.0,Rio Caeté,2022.0
150172,BRASIL NOVO,1403.0,828.0,26.0,7990.0,4.0,92.0,Xingu,Brasil Novo (PA),4271.0,1674.0,295,9173.0,277,15690.0,Xingu,2010.0
150172,BRASIL NOVO,2269.0,1021.0,134.0,12534.0,13.0,2.0,Xingu,Brasil Novo (PA),5996.0,2850.0,21,15457.0,393,24718.0,Xingu,2022.0
150175,BREJO GRANDE DO ARAGUAIA,767.0,427.0,2.0,4938.0,173.0,22.0,Carajás,Brejo Grande do Araguaia (PA),1419.0,531.0,68,5262.0,37,7317.0,Carajás,2010.0
150175,BREJO GRANDE DO ARAGUAIA,782.0,344.0,31.0,4574.0,234.0,1.0,Carajás,Brejo Grande do Araguaia (PA),1140.0,782.0,5,4774.0,82,6783.0,Carajás,2022.0
